query,rank,video_id,score
How do you build a video sharing app using Next.js?,1,IBTx5aGj-6U,-0.10505464673042297
How do you build a video sharing app using Next.js?,2,tdsQwuyS6DQ,-0.13654480315744877
How do you build a video sharing app using Next.js?,3,GIZzRGYpCbM,-0.14841264858841896
How do you build a video sharing app using Next.js?,4,UIf-SlmMays,-0.152995515614748
How do you build a video sharing app using Next.js?,5,cCuvlQvU1eg,-0.15498141571879387
What are closures in JavaScript?,1,U6-RekkuORI,-0.09461808577179909
What are closures in JavaScript?,2,9kKNFP9srjc,-0.11593832448124886
What are closures in JavaScript?,3,UtV8MfnuIEg,-0.11972789093852043
What are closures in JavaScript?,4,kFEBs8wuhiU,-0.12839297484606504
What are closures in JavaScript?,5,ja4OAzPLuM8,-0.13723434507846832
How do regular expressions work in programming?,1,taSwtU-sldo,-0.15988972038030624
How do regular expressions work in programming?,2,Fi8vnYgMiHA,-0.1601943001151085
How do regular expressions work in programming?,3,uJAUeXLXHrY,-0.16261949390172958
How do regular expressions work in programming?,4,UtV8MfnuIEg,-0.16431543976068497
How do regular expressions work in programming?,5,CMEWVn1uZpQ,-0.16829907894134521
What is integration testing in software development?,1,xH9ZKsTY73Y,-0.16470608115196228
What is integration testing in software development?,2,5JTBS09e7ew,-0.16687782108783722
What is integration testing in software development?,3,Yygu7TBWdPs,-0.1669839769601822
What is integration testing in software development?,4,Kt2E8nblvXU,-0.16787895560264587
What is integration testing in software development?,5,xTg_pBgr_vA,-0.16898538544774055
How do you contribute to open source projects?,1,FHBBaSUQk1Y,-0.10029172152280807
How do you contribute to open source projects?,2,4RGkpzTJjfg,-0.11203309521079063
How do you contribute to open source projects?,3,HihwnUepmdg,-0.11672715470194817
How do you contribute to open source projects?,4,m7nkioXNiik,-0.12198317795991898
How do you contribute to open source projects?,5,c1Op7YSTwhg,-0.12200875580310822
What is Git and why is it important?,1,ZldNCx4AvEM,-0.11753573641180992
What is Git and why is it important?,2,mAFoROnOfHs,-0.15069029666483402
What is Git and why is it important?,3,cw02dMpWStI,-0.15232107788324356
What is Git and why is it important?,4,wP8SiwiExBk,-0.15614480152726173
What is Git and why is it important?,5,CcQwCGUdRmw,-0.1608031615614891
How do developers collaborate using GitHub?,1,mAFoROnOfHs,-0.12201455561444163
How do developers collaborate using GitHub?,2,CcQwCGUdRmw,-0.13306226953864098
How do developers collaborate using GitHub?,3,cw02dMpWStI,-0.13310030102729797
How do developers collaborate using GitHub?,4,cjam-BWAaL8,-0.1369873583316803
How do developers collaborate using GitHub?,5,voPcxCFMbbM,-0.14419318176805973
What is Kubernetes used for?,1,l57xKN6OBhY,-0.13318072445690632
What is Kubernetes used for?,2,hK8wf18SasY,-0.13557464629411697
What is Kubernetes used for?,3,Fr9GqFwl6NM,-0.14257964491844177
What is Kubernetes used for?,4,odP153inZUo,-0.1473938375711441
What is Kubernetes used for?,5,tfpGS_doPvY,-0.15926633402705193
How does Kubernetes manage containers?,1,odP153inZUo,-0.12809470295906067
How does Kubernetes manage containers?,2,l57xKN6OBhY,-0.12957244366407394
How does Kubernetes manage containers?,3,hK8wf18SasY,-0.12975048273801804
How does Kubernetes manage containers?,4,Fr9GqFwl6NM,-0.14288637042045593
How does Kubernetes manage containers?,5,wP8SiwiExBk,-0.14916203171014786
What is Docker and how does it work?,1,lEcULR30-GM,-0.14830975979566574
What is Docker and how does it work?,2,oYMUKagK0n8,-0.15970131009817123
What is Docker and how does it work?,3,oeWLnnjFmf8,-0.16517289727926254
What is Docker and how does it work?,4,2yF62QE59G8,-0.1720743402838707
What is Docker and how does it work?,5,zkJt9y7ixiY,-0.1723187193274498
What is containerization in software development?,1,lEcULR30-GM,-0.1527332104742527
What is containerization in software development?,2,mvleESOUTRw,-0.15520267188549042
What is containerization in software development?,3,DosHnyq78xY,-0.1591828539967537
What is containerization in software development?,4,GIZzRGYpCbM,-0.16127002239227295
What is containerization in software development?,5,YCS3HsFTbTQ,-0.16128576174378395
How do you deploy applications using Docker?,1,lEcULR30-GM,-0.15066972374916077
How do you deploy applications using Docker?,2,0ffwhxW-uyw,-0.16111642122268677
How do you deploy applications using Docker?,3,ObiAWFqgpMg,-0.17027876526117325
How do you deploy applications using Docker?,4,DzVm161M4Kk,-0.17128915525972843
How do you deploy applications using Docker?,5,F9gB5b4jgOI,-0.1727973073720932
What is continuous integration in DevOps?,1,ZldNCx4AvEM,-0.1485944502055645
What is continuous integration in DevOps?,2,b-JFDTZ5e1U,-0.15261657536029816
What is continuous integration in DevOps?,3,KCQsP91Wor0,-0.15608077868819237
What is continuous integration in DevOps?,4,lIghF_OewYg,-0.156686719506979
What is continuous integration in DevOps?,5,GIZzRGYpCbM,-0.15946149080991745
What is continuous deployment in DevOps?,1,lEcULR30-GM,-0.14494818449020386
What is continuous deployment in DevOps?,2,F9gB5b4jgOI,-0.15488151740282774
What is continuous deployment in DevOps?,3,l57xKN6OBhY,-0.1609952189028263
What is continuous deployment in DevOps?,4,N0K0m7dZBJI,-0.16157886758446693
What is continuous deployment in DevOps?,5,n1sfrc-RjyM,-0.1640133559703827
How does CI/CD improve software development?,1,wck2LmaMaB4,-0.13885912485420704
How does CI/CD improve software development?,2,5k4asZXrzHI,-0.14198004081845284
How does CI/CD improve software development?,3,7lEWtEG3vd0,-0.15002517774701118
How does CI/CD improve software development?,4,58Tn2xB8kIE,-0.1501406542956829
How does CI/CD improve software development?,5,HihwnUepmdg,-0.15039933938533068
What is the difference between frontend and backend development?,1,KOutPbKc9UM,-0.15600401908159256
What is the difference between frontend and backend development?,2,F9gB5b4jgOI,-0.16570939123630524
What is the difference between frontend and backend development?,3,do62-z3z6FM,-0.1672007404267788
What is the difference between frontend and backend development?,4,wP8SiwiExBk,-0.16726481914520264
What is the difference between frontend and backend development?,5,FHBBaSUQk1Y,-0.16901639103889465
What is REST API and how does it work?,1,GIZzRGYpCbM,-0.15354348719120026
What is REST API and how does it work?,2,HihwnUepmdg,-0.1554567664861679
What is REST API and how does it work?,3,KCQsP91Wor0,-0.15815743058919907
What is REST API and how does it work?,4,oYMUKagK0n8,-0.16277433931827545
What is REST API and how does it work?,5,WKIjkxxNH0c,-0.1635618731379509
How do you build APIs using Node.js?,1,7lEWtEG3vd0,-0.1304427720606327
How do you build APIs using Node.js?,2,KOutPbKc9UM,-0.14172683656215668
How do you build APIs using Node.js?,3,6ChzCaljcaI,-0.1422721929848194
How do you build APIs using Node.js?,4,W4M-g9wsEC4,-0.14319823123514652
How do you build APIs using Node.js?,5,jBf7of9JTV8,-0.1433686539530754
What is Express.js used for?,1,y5aKEyPfLKs,-0.1494714394211769
What is Express.js used for?,2,iMLGy2wEE_g,-0.1512020379304886
What is Express.js used for?,3,kFEBs8wuhiU,-0.1541045978665352
What is Express.js used for?,4,taSwtU-sldo,-0.15869714226573706
What is Express.js used for?,5,UtV8MfnuIEg,-0.15874316450208426
What is the role of middleware in Express.js?,1,taSwtU-sldo,-0.14996066689491272
What is the role of middleware in Express.js?,2,y5aKEyPfLKs,-0.1529085487127304
What is the role of middleware in Express.js?,3,W4M-g9wsEC4,-0.15335241612046957
What is the role of middleware in Express.js?,4,UtV8MfnuIEg,-0.15709283202886581
What is the role of middleware in Express.js?,5,cCuvlQvU1eg,-0.1580246016383171
How do you create a full stack web application?,1,F9gB5b4jgOI,-0.13203785754740238
How do you create a full stack web application?,2,b-JFDTZ5e1U,-0.13281697034835815
How do you create a full stack web application?,3,yguDjZcUpH8,-0.1442335657775402
How do you create a full stack web application?,4,LzMnsfqjzkA,-0.14450473338365555
How do you create a full stack web application?,5,lEcULR30-GM,-0.14491258561611176
What is the role of databases in web development?,1,u1T8yyEEKWY,-0.13440481759607792
What is the role of databases in web development?,2,WXk7yDqsKxs,-0.1345826662145555
What is the role of databases in web development?,3,Q7P20fHJlm4,-0.15091662853956223
What is the role of databases in web development?,4,VK-2j5CNsvM,-0.1522059477865696
What is the role of databases in web development?,5,MdEexYakkHw,-0.15342418104410172
What is SQL and why is it used?,1,u1T8yyEEKWY,-0.13803592137992382
What is SQL and why is it used?,2,WXk7yDqsKxs,-0.1562004778534174
What is SQL and why is it used?,3,hM2T45qbIPI,-0.16507012397050858
What is SQL and why is it used?,4,26ls5lNiijk,-0.16784777492284775
What is SQL and why is it used?,5,vc5T3VmCar0,-0.16940767224878073
What is MongoDB and how does it work?,1,wP8SiwiExBk,-0.15945100784301758
What is MongoDB and how does it work?,2,KOutPbKc9UM,-0.1635938286781311
What is MongoDB and how does it work?,3,NdeeSEknp58,-0.1661628782749176
What is MongoDB and how does it work?,4,EQH9MBHGyag,-0.1669597625732422
What is MongoDB and how does it work?,5,VK-2j5CNsvM,-0.16781892627477646
What is the difference between SQL and NoSQL databases?,1,HwFw1abJkUs,-0.16094835102558136
What is the difference between SQL and NoSQL databases?,2,VK-2j5CNsvM,-0.16680610179901123
What is the difference between SQL and NoSQL databases?,3,PcbuKRNtCUc,-0.16980481892824173
What is the difference between SQL and NoSQL databases?,4,URJBQ3b9n6Y,-0.17075874283909798
What is the difference between SQL and NoSQL databases?,5,OarYObjva0E,-0.1724451370537281
What is JavaScript closure and why is it useful?,1,U6-RekkuORI,-0.0874570650048554
What is JavaScript closure and why is it useful?,2,UtV8MfnuIEg,-0.12153730913996696
What is JavaScript closure and why is it useful?,3,9kKNFP9srjc,-0.12447454873472452
What is JavaScript closure and why is it useful?,4,kFEBs8wuhiU,-0.13111329078674316
What is JavaScript closure and why is it useful?,5,fQ51cM44o7I,-0.14288878440856934
How do asynchronous functions work in JavaScript?,1,URJBQ3b9n6Y,-0.14984866278246045
How do asynchronous functions work in JavaScript?,2,QgZoz4xFfLE,-0.15932026877999306
How do asynchronous functions work in JavaScript?,3,jHInoiWHe0Q,-0.1624209489673376
How do asynchronous functions work in JavaScript?,4,Bc4blwgFF-o,-0.16560953296720982
How do asynchronous functions work in JavaScript?,5,cCuvlQvU1eg,-0.16750319115817547
What are promises in JavaScript?,1,QgZoz4xFfLE,-0.1488761119544506
What are promises in JavaScript?,2,UtV8MfnuIEg,-0.15244785510003567
What are promises in JavaScript?,3,fQ51cM44o7I,-0.15332258120179176
What are promises in JavaScript?,4,IcOiX-jynfI,-0.1627584444358945
What are promises in JavaScript?,5,iMLGy2wEE_g,-0.16582400351762772
What is async and await in JavaScript?,1,OarYObjva0E,-0.15478507056832314
What is async and await in JavaScript?,2,9UxVhurASxU,-0.1553064063191414
What is async and await in JavaScript?,3,kFEBs8wuhiU,-0.16046104952692986
What is async and await in JavaScript?,4,qYk_BqGHXEg,-0.16119106858968735
What is async and await in JavaScript?,5,yhTipwdwe9w,-0.16137448698282242
How does the event loop work in JavaScript?,1,UtV8MfnuIEg,-0.13216301798820496
How does the event loop work in JavaScript?,2,qG2g1iv6ZbY,-0.13219543546438217
How does the event loop work in JavaScript?,3,QgZoz4xFfLE,-0.1379996445029974
How does the event loop work in JavaScript?,4,kFEBs8wuhiU,-0.13829677551984787
How does the event loop work in JavaScript?,5,ja4OAzPLuM8,-0.13991164043545723
What is Python used for in AI development?,1,KUbbb0T1YZ8,-0.1314745917916298
What is Python used for in AI development?,2,MdEexYakkHw,-0.13775349035859108
What is Python used for in AI development?,3,GIZzRGYpCbM,-0.1543780118227005
What is Python used for in AI development?,4,aokdrllzkFQ,-0.15485680475831032
What is Python used for in AI development?,5,pdleuy5lljY,-0.16022764146327972
How do Python libraries help in data science?,1,CMEWVn1uZpQ,-0.15042618103325367
How do Python libraries help in data science?,2,Q7mS1VHm3Yw,-0.15821967273950577
How do Python libraries help in data science?,3,jBf7of9JTV8,-0.16215461492538452
How do Python libraries help in data science?,4,iLRZi0Gu8Go,-0.16323305666446686
How do Python libraries help in data science?,5,ekXUXu7Eejs,-0.16429464519023895
What is NumPy used for in Python?,1,KUbbb0T1YZ8,-0.15944138541817665
What is NumPy used for in Python?,2,PBx-e7yyk5M,-0.1644762009382248
What is NumPy used for in Python?,3,lw1vTtFyfgg,-0.1665341854095459
What is NumPy used for in Python?,4,ZK6XWSCCgPQ,-0.16763248294591904
What is NumPy used for in Python?,5,QMgIovzpYVw,-0.1678495928645134
What is pandas used for in data analysis?,1,CMEWVn1uZpQ,-0.15869659185409546
What is pandas used for in data analysis?,2,vZHhmzT9TL8,-0.17164446040987968
What is pandas used for in data analysis?,3,QCSKhLuGR5c,-0.17210936546325684
What is pandas used for in data analysis?,4,QMgIovzpYVw,-0.17514588311314583
What is pandas used for in data analysis?,5,PBx-e7yyk5M,-0.17627358064055443
What is data visualization in Python?,1,XSJD5ay1D_8,-0.14434516429901123
What is data visualization in Python?,2,CMEWVn1uZpQ,-0.1512676104903221
What is data visualization in Python?,3,gwNPV882tkc,-0.15835756994783878
What is data visualization in Python?,4,KUbbb0T1YZ8,-0.15917164832353592
What is data visualization in Python?,5,GAdgTK2Esn4,-0.16697785258293152
How does matplotlib help visualize data?,1,CMEWVn1uZpQ,-0.1510525718331337
How does matplotlib help visualize data?,2,XSJD5ay1D_8,-0.16085361689329147
How does matplotlib help visualize data?,3,uJAUeXLXHrY,-0.16276665031909943
How does matplotlib help visualize data?,4,T23Bs75F7ZQ,-0.16774769499897957
How does matplotlib help visualize data?,5,D5F8kp_azzw,-0.17044489458203316
What is machine learning in simple terms?,1,PcbuKRNtCUc,-0.1373436190187931
What is machine learning in simple terms?,2,QCPJ0VdpM00,-0.14240923756733537
What is machine learning in simple terms?,3,zkJt9y7ixiY,-0.14933551102876663
What is machine learning in simple terms?,4,30diF8dKpAY,-0.1556759476661682
What is machine learning in simple terms?,5,O3m9m6Ie4gY,-0.15635908395051956
How does gradient descent optimize machine learning models?,1,E7o_WdfKszU,-0.14522967115044594
How does gradient descent optimize machine learning models?,2,8WBS0dT0h2I,-0.14705325197428465
How does gradient descent optimize machine learning models?,3,PcbuKRNtCUc,-0.1497674696147442
How does gradient descent optimize machine learning models?,4,9Ge0sMm65jo,-0.1507764719426632
How does gradient descent optimize machine learning models?,5,ebarbEsoHzg,-0.15156323462724686
What is supervised learning in machine learning?,1,c6IyCwAV6BY,-0.15157560259103775
What is supervised learning in machine learning?,2,QCPJ0VdpM00,-0.15946038998663425
What is supervised learning in machine learning?,3,Yygu7TBWdPs,-0.15976889058947563
What is supervised learning in machine learning?,4,yhTipwdwe9w,-0.1599125862121582
What is supervised learning in machine learning?,5,do62-z3z6FM,-0.1610066555440426
What is unsupervised learning in machine learning?,1,30diF8dKpAY,-0.16344586946070194
What is unsupervised learning in machine learning?,2,tmB5JIX3Lxk,-0.16574463993310928
What is unsupervised learning in machine learning?,3,nYXVvK-Wmn0,-0.16644473373889923
What is unsupervised learning in machine learning?,4,n1sfrc-RjyM,-0.16972306370735168
What is unsupervised learning in machine learning?,5,K34gBCjzni8,-0.16975457966327667
What are neural networks inspired by?,1,PcbuKRNtCUc,-0.1415499784052372
What are neural networks inspired by?,2,UIf-SlmMays,-0.14773120917379856
What are neural networks inspired by?,3,kRv2ElPNAdY,-0.1506035253405571
What are neural networks inspired by?,4,tfpGS_doPvY,-0.1575462594628334
What are neural networks inspired by?,5,suuDVhYXe5Y,-0.15946447104215622
How does backpropagation work in neural networks?,1,E0bwEAWmVEM,-0.150125153362751
How does backpropagation work in neural networks?,2,tmB5JIX3Lxk,-0.15222478285431862
How does backpropagation work in neural networks?,3,wu8npoU37cI,-0.16231944784522057
How does backpropagation work in neural networks?,4,taSwtU-sldo,-0.16493643075227737
How does backpropagation work in neural networks?,5,GpxFF82I8Nk,-0.16889680176973343
What is natural language processing in AI?,1,GIZzRGYpCbM,-0.13808733969926834
What is natural language processing in AI?,2,zkJt9y7ixiY,-0.14023852348327637
What is natural language processing in AI?,3,WKIjkxxNH0c,-0.14119497314095497
What is natural language processing in AI?,4,HaUe2AN210g,-0.14797694981098175
What is natural language processing in AI?,5,B0TJC4lmzEM,-0.1496567353606224
How do AI agents work in modern applications?,1,WKIjkxxNH0c,-0.13598098419606686
How do AI agents work in modern applications?,2,YtHdaXuOAks,-0.14312744140625
How do AI agents work in modern applications?,3,tr5Fapv80Cw,-0.14406847720965743
How do AI agents work in modern applications?,4,suuDVhYXe5Y,-0.1458265781402588
