query,rank,video_id,score
How do you build a video sharing app using Next.js?,1,IBTx5aGj-6U,0.7311481
How do you build a video sharing app using Next.js?,2,KCQsP91Wor0,0.49745142
How do you build a video sharing app using Next.js?,3,jBf7of9JTV8,0.48950276
How do you build a video sharing app using Next.js?,4,qYk_BqGHXEg,0.48611844
How do you build a video sharing app using Next.js?,5,6ChzCaljcaI,0.4712103
What are closures in JavaScript?,1,U6-RekkuORI,0.8709441
What are closures in JavaScript?,2,9kKNFP9srjc,0.6914772
What are closures in JavaScript?,3,UtV8MfnuIEg,0.63883847
What are closures in JavaScript?,4,kFEBs8wuhiU,0.50122666
What are closures in JavaScript?,5,ja4OAzPLuM8,0.4577643
How do regular expressions work in programming?,1,uJAUeXLXHrY,0.5439317
How do regular expressions work in programming?,2,fQ51cM44o7I,0.3980017
How do regular expressions work in programming?,3,ikXDYsdg15c,0.3533386
How do regular expressions work in programming?,4,taSwtU-sldo,0.3075885
How do regular expressions work in programming?,5,f9-Vf_WNvT0,0.2997668
What is integration testing in software development?,1,s950xhRvqYQ,0.4525127
What is integration testing in software development?,2,Yygu7TBWdPs,0.41861707
What is integration testing in software development?,3,do62-z3z6FM,0.34442562
What is integration testing in software development?,4,YCS3HsFTbTQ,0.34170493
What is integration testing in software development?,5,GIZzRGYpCbM,0.32162756
How do you contribute to open source projects?,1,FHBBaSUQk1Y,0.7720744
How do you contribute to open source projects?,2,c1Op7YSTwhg,0.7043515
How do you contribute to open source projects?,3,cw02dMpWStI,0.7005848
How do you contribute to open source projects?,4,7lEWtEG3vd0,0.6678809
How do you contribute to open source projects?,5,4RGkpzTJjfg,0.6669575
What is Git and why is it important?,1,ZldNCx4AvEM,0.66112036
What is Git and why is it important?,2,mAFoROnOfHs,0.6359235
What is Git and why is it important?,3,CcQwCGUdRmw,0.3037216
What is Git and why is it important?,4,voPcxCFMbbM,0.30248526
What is Git and why is it important?,5,cw02dMpWStI,0.2342078
How do developers collaborate using GitHub?,1,mAFoROnOfHs,0.66925335
How do developers collaborate using GitHub?,2,ZldNCx4AvEM,0.5719571
How do developers collaborate using GitHub?,3,CcQwCGUdRmw,0.5162405
How do developers collaborate using GitHub?,4,cw02dMpWStI,0.4634721
