query,rank,video_id,score
How do you build a video sharing app using Next.js?,1,IBTx5aGj-6U,-0.7010729729765557
How do you build a video sharing app using Next.js?,2,KCQsP91Wor0,-1.001382171870116
How do you build a video sharing app using Next.js?,3,jBf7of9JTV8,-1.0224415583478672
How do you build a video sharing app using Next.js?,4,IcOiX-jynfI,-1.0615039075360204
How do you build a video sharing app using Next.js?,5,6ChzCaljcaI,-1.0680237081038861
What are closures in JavaScript?,1,U6-RekkuORI,-0.5003434481648926
What are closures in JavaScript?,2,9kKNFP9srjc,-0.7528047331749054
What are closures in JavaScript?,3,UtV8MfnuIEg,-0.888742999893773
What are closures in JavaScript?,4,kFEBs8wuhiU,-0.9496103899939684
What are closures in JavaScript?,5,yhTipwdwe9w,-0.9603724591782858
How do regular expressions work in programming?,1,uJAUeXLXHrY,-0.9726473027628405
How do regular expressions work in programming?,2,pdleuy5lljY,-1.0636897274541224
How do regular expressions work in programming?,3,fQ51cM44o7I,-1.1059910786087077
How do regular expressions work in programming?,4,o54etZM-DrY,-1.1183243591277883
How do regular expressions work in programming?,5,ikXDYsdg15c,-1.1199701634900328
What is integration testing in software development?,1,s950xhRvqYQ,-0.9445931382783329
What is integration testing in software development?,2,Yygu7TBWdPs,-1.04771606625406
What is integration testing in software development?,3,KCQsP91Wor0,-1.0976182635314784
What is integration testing in software development?,4,qDtVzumlb8M,-1.1110785209152116
What is integration testing in software development?,5,YCS3HsFTbTQ,-1.1152450164248395
How do you contribute to open source projects?,1,FHBBaSUQk1Y,-0.7126759312264743
How do you contribute to open source projects?,2,7lEWtEG3vd0,-0.7882407035176663
How do you contribute to open source projects?,3,c1Op7YSTwhg,-0.8317964241014495
How do you contribute to open source projects?,4,cw02dMpWStI,-0.8384076649723944
How do you contribute to open source projects?,5,4RGkpzTJjfg,-0.8560717187938427
What is Git and why is it important?,1,mAFoROnOfHs,-0.7819411650680341
What is Git and why is it important?,2,ZldNCx4AvEM,-0.8553111510853296
What is Git and why is it important?,3,CcQwCGUdRmw,-1.0632712145663645
What is Git and why is it important?,4,7lEWtEG3vd0,-1.0926558401260962
What is Git and why is it important?,5,cw02dMpWStI,-1.1178262888094523
How do developers collaborate using GitHub?,1,mAFoROnOfHs,-0.8057408451209156
How do developers collaborate using GitHub?,2,ZldNCx4AvEM,-0.919457106697032
How do developers collaborate using GitHub?,3,CcQwCGUdRmw,-0.9355371086998828
How do developers collaborate using GitHub?,4,cw02dMpWStI,-0.9750609743601557
How do developers collaborate using GitHub?,5,7lEWtEG3vd0,-0.9797565402400261
What is Kubernetes used for?,1,hK8wf18SasY,-0.8137439100874876
What is Kubernetes used for?,2,_4uQI4ihGVU,-0.877216165757007
What is Kubernetes used for?,3,odP153inZUo,-0.9318545818302209
What is Kubernetes used for?,4,Fr9GqFwl6NM,-0.9465965070661454
What is Kubernetes used for?,5,l57xKN6OBhY,-1.0035589798809303
How does Kubernetes manage containers?,1,hK8wf18SasY,-0.8289602848692947
How does Kubernetes manage containers?,2,_4uQI4ihGVU,-0.91722309143712
How does Kubernetes manage containers?,3,odP153inZUo,-0.9320569460543581
How does Kubernetes manage containers?,4,Fr9GqFwl6NM,-0.9465927158047127
How does Kubernetes manage containers?,5,l57xKN6OBhY,-1.0063703168720437
What is Docker and how does it work?,1,lEcULR30-GM,-0.9628084568161867
What is Docker and how does it work?,2,0ffwhxW-uyw,-1.114050916471915
What is Docker and how does it work?,3,Zv2a6ixXEQc,-1.13683360307029
What is Docker and how does it work?,4,rgt5GPFgryI,-1.1372995809114268
What is Docker and how does it work?,5,cjam-BWAaL8,-1.1426490388788986
What is containerization in software development?,1,lEcULR30-GM,-1.0257957312473216
What is containerization in software development?,2,hK8wf18SasY,-1.0880904127461268
What is containerization in software development?,3,odP153inZUo,-1.1113680120384737
What is containerization in software development?,4,0ffwhxW-uyw,-1.1158364854418668
What is containerization in software development?,5,baYjd4pFjlw,-1.1232659021132354
How do you deploy applications using Docker?,1,lEcULR30-GM,-0.8822446451164949
