query,rank,video_id,score
How do you build a video sharing app using Next.js?,1,IBTx5aGj-6U,0.7415434
How do you build a video sharing app using Next.js?,2,IcOiX-jynfI,0.4780089
How do you build a video sharing app using Next.js?,3,jBf7of9JTV8,0.4507807
How do you build a video sharing app using Next.js?,4,KCQsP91Wor0,0.44938338
How do you build a video sharing app using Next.js?,5,qYk_BqGHXEg,0.39589652
What are closures in JavaScript?,1,U6-RekkuORI,0.9079243
What are closures in JavaScript?,2,9kKNFP9srjc,0.71603864
What are closures in JavaScript?,3,UtV8MfnuIEg,0.5784466
What are closures in JavaScript?,4,kFEBs8wuhiU,0.47045818
What are closures in JavaScript?,5,ry_mcAPVTOc,0.46039316
How do regular expressions work in programming?,1,uJAUeXLXHrY,0.6475004
How do regular expressions work in programming?,2,fQ51cM44o7I,0.3749941
How do regular expressions work in programming?,3,P7PMA3X1tf8,0.31514266
How do regular expressions work in programming?,4,taSwtU-sldo,0.31069073
How do regular expressions work in programming?,5,Z_c4byLrNBU,0.30023247
What is integration testing in software development?,1,s950xhRvqYQ,0.4332045
What is integration testing in software development?,2,Yygu7TBWdPs,0.34891272
What is integration testing in software development?,3,T23Bs75F7ZQ,0.30491006
What is integration testing in software development?,4,DIRnYM2dOs0,0.2942839
What is integration testing in software development?,5,JfiWi8RjN-8,0.27328196
How do you contribute to open source projects?,1,FHBBaSUQk1Y,0.7330115
How do you contribute to open source projects?,2,HihwnUepmdg,0.6647809
How do you contribute to open source projects?,3,4RGkpzTJjfg,0.66145676
How do you contribute to open source projects?,4,cw02dMpWStI,0.60801476
How do you contribute to open source projects?,5,7lEWtEG3vd0,0.59251684
What is Git and why is it important?,1,ZldNCx4AvEM,0.70273364
What is Git and why is it important?,2,mAFoROnOfHs,0.6515739
What is Git and why is it important?,3,wP8SiwiExBk,0.3421565
What is Git and why is it important?,4,4RGkpzTJjfg,0.3299464
What is Git and why is it important?,5,FHBBaSUQk1Y,0.32342884
How do developers collaborate using GitHub?,1,mAFoROnOfHs,0.60615623
How do developers collaborate using GitHub?,2,ZldNCx4AvEM,0.5514092
How do developers collaborate using GitHub?,3,CcQwCGUdRmw,0.47316498
How do developers collaborate using GitHub?,4,FHBBaSUQk1Y,0.4163506
How do developers collaborate using GitHub?,5,7lEWtEG3vd0,0.36343014
What is Kubernetes used for?,1,hK8wf18SasY,0.6609318
What is Kubernetes used for?,2,Fr9GqFwl6NM,0.5591018
What is Kubernetes used for?,3,l57xKN6OBhY,0.5561042
What is Kubernetes used for?,4,_4uQI4ihGVU,0.5395915
What is Kubernetes used for?,5,odP153inZUo,0.53158504
How does Kubernetes manage containers?,1,hK8wf18SasY,0.6642865
How does Kubernetes manage containers?,2,l57xKN6OBhY,0.57703114
How does Kubernetes manage containers?,3,Fr9GqFwl6NM,0.5763248
How does Kubernetes manage containers?,4,odP153inZUo,0.5258032
How does Kubernetes manage containers?,5,_4uQI4ihGVU,0.51462555
What is Docker and how does it work?,1,lEcULR30-GM,0.47352976
What is Docker and how does it work?,2,hK8wf18SasY,0.43012935
What is Docker and how does it work?,3,0ffwhxW-uyw,0.3862295
What is Docker and how does it work?,4,_4uQI4ihGVU,0.32325363
What is Docker and how does it work?,5,l57xKN6OBhY,0.31384048
What is containerization in software development?,1,hK8wf18SasY,0.46314728
What is containerization in software development?,2,lEcULR30-GM,0.45046347
What is containerization in software development?,3,0ffwhxW-uyw,0.4027572
What is containerization in software development?,4,_4uQI4ihGVU,0.39985752
What is containerization in software development?,5,xHUwGx-ZlTM,0.3745289
How do you deploy applications using Docker?,1,lEcULR30-GM,0.5540127
How do you deploy applications using Docker?,2,0ffwhxW-uyw,0.40422353
How do you deploy applications using Docker?,3,hK8wf18SasY,0.3842988
How do you deploy applications using Docker?,4,_4uQI4ihGVU,0.33746868
How do you deploy applications using Docker?,5,Fr9GqFwl6NM,0.3127116
What is continuous integration in DevOps?,1,lEcULR30-GM,0.40534973
What is continuous integration in DevOps?,2,s950xhRvqYQ,0.37668455
What is continuous integration in DevOps?,3,ZldNCx4AvEM,0.37444502
What is continuous integration in DevOps?,4,JfiWi8RjN-8,0.3640359
What is continuous integration in DevOps?,5,do62-z3z6FM,0.33125973
What is continuous deployment in DevOps?,1,lEcULR30-GM,0.40021196
What is continuous deployment in DevOps?,2,ZldNCx4AvEM,0.32276285
What is continuous deployment in DevOps?,3,s950xhRvqYQ,0.30455625
What is continuous deployment in DevOps?,4,do62-z3z6FM,0.29909876
What is continuous deployment in DevOps?,5,JfiWi8RjN-8,0.2885741
How does CI/CD improve software development?,1,MdEexYakkHw,0.41550797
How does CI/CD improve software development?,2,wck2LmaMaB4,0.41098797
How does CI/CD improve software development?,3,4RGkpzTJjfg,0.3872876
How does CI/CD improve software development?,4,s950xhRvqYQ,0.377787
How does CI/CD improve software development?,5,FHBBaSUQk1Y,0.3776996
What is the difference between frontend and backend development?,1,KOutPbKc9UM,0.5413724
What is the difference between frontend and backend development?,2,yDhCweudqyY,0.38742214
What is the difference between frontend and backend development?,3,do62-z3z6FM,0.38337022
What is the difference between frontend and backend development?,4,LzMnsfqjzkA,0.34584293
What is the difference between frontend and backend development?,5,HEGrkgpe7-Y,0.34082526
What is REST API and how does it work?,1,38GNKtclDdE,0.60843676
What is REST API and how does it work?,2,R-4_DbV1Su4,0.49013788
What is REST API and how does it work?,3,KOutPbKc9UM,0.46660775
What is REST API and how does it work?,4,QSFWSjBHIkw,0.4176047
What is REST API and how does it work?,5,WSsOXo07LeE,0.38916677
How do you build APIs using Node.js?,1,KOutPbKc9UM,0.5892712
How do you build APIs using Node.js?,2,21_I-12f5JE,0.52168775
How do you build APIs using Node.js?,3,38GNKtclDdE,0.49223801
How do you build APIs using Node.js?,4,R-4_DbV1Su4,0.4691674
How do you build APIs using Node.js?,5,b-JFDTZ5e1U,0.454788
What is Express.js used for?,1,KOutPbKc9UM,0.45991853
What is Express.js used for?,2,y5aKEyPfLKs,0.40185603
What is Express.js used for?,3,21_I-12f5JE,0.37420353
What is Express.js used for?,4,c6IyCwAV6BY,0.36947313
What is Express.js used for?,5,HEGrkgpe7-Y,0.3628941
