Model,Metric,Query,Rank,Video,Score
MiniLM,cosine,Learn English with The Devil Wears Prada scene,1,aRbaIHNttv4,0.6139
MiniLM,cosine,Learn English with The Devil Wears Prada scene,2,OuTtIzGhUDY,0.5923
MiniLM,cosine,Learn English with The Devil Wears Prada scene,3,3GCmsMI5iAY,0.5296
MiniLM,cosine,Learn English with The Devil Wears Prada scene,4,QaP6nhNyHb0,0.5122
MiniLM,cosine,Learn English with The Devil Wears Prada scene,5,pKoH9GkEKxQ,0.5085
MiniLM,cosine,Learn English with SpongeBob SquarePants dialogue,1,JxWEAP0aAJQ,0.7447
MiniLM,cosine,Learn English with SpongeBob SquarePants dialogue,2,NDhPifXoBYI,0.6435
MiniLM,cosine,Learn English with SpongeBob SquarePants dialogue,3,FZXyYuiyq2I,0.536
MiniLM,cosine,Learn English with SpongeBob SquarePants dialogue,4,2MlWEVKMD_M,0.5342
MiniLM,cosine,Learn English with SpongeBob SquarePants dialogue,5,Sev_UnaqWmM,0.531
MiniLM,cosine,Learn English with The Simpsons episode conversation,1,apI6j_LQYAA,0.678
MiniLM,cosine,Learn English with The Simpsons episode conversation,2,RQuL3lsuarQ,0.5653
MiniLM,cosine,Learn English with The Simpsons episode conversation,3,wqOlUOkiFbs,0.5477
MiniLM,cosine,Learn English with The Simpsons episode conversation,4,fQwqes1cQ8E,0.5469
MiniLM,cosine,Learn English with The Simpsons episode conversation,5,2li3fhbUnXI,0.5388
MiniLM,cosine,Learn English with Peaky Blinders speaking style,1,uW-I9SFuU1A,0.6481
MiniLM,cosine,Learn English with Peaky Blinders speaking style,2,2li3fhbUnXI,0.6397
MiniLM,cosine,Learn English with Peaky Blinders speaking style,3,xV-GT84xzE8,0.5708
MiniLM,cosine,Learn English with Peaky Blinders speaking style,4,RHOGowO5i2A,0.563
MiniLM,cosine,Learn English with Peaky Blinders speaking style,5,EccLlzUCF4w,0.5587
MiniLM,cosine,Learn English with Jennifer Aniston interview,1,381NyVSorHo,0.7161
MiniLM,cosine,Learn English with Jennifer Aniston interview,2,dsN6FiF9ncI,0.6839
MiniLM,cosine,Learn English with Jennifer Aniston interview,3,5fBrINGT0Dg,0.5716
MiniLM,cosine,Learn English with Jennifer Aniston interview,4,mNCS4_wqaPY,0.5557
MiniLM,cosine,Learn English with Jennifer Aniston interview,5,SruvBaQa4UA,0.5525
MiniLM,cosine,Learn English with Zootopia movie dialogue,1,UpQF2gdw5RY,0.7331
MiniLM,cosine,Learn English with Zootopia movie dialogue,2,Ql17ws1pmiQ,0.6214
MiniLM,cosine,Learn English with Zootopia movie dialogue,3,SkViUbosnD4,0.6094
MiniLM,cosine,Learn English with Zootopia movie dialogue,4,HgB2UHli0fU,0.6085
MiniLM,cosine,Learn English with Zootopia movie dialogue,5,67E6Dl6LaW4,0.6082
MiniLM,cosine,Learn English with The Lion King movie scene,1,IIhWbZk2B3o,0.7407
MiniLM,cosine,Learn English with The Lion King movie scene,2,HgB2UHli0fU,0.7391
MiniLM,cosine,Learn English with The Lion King movie scene,3,Ql17ws1pmiQ,0.6206
MiniLM,cosine,Learn English with The Lion King movie scene,4,SkViUbosnD4,0.5613
MiniLM,cosine,Learn English with The Lion King movie scene,5,cj0_XhE_qxE,0.5543
MiniLM,cosine,Learn English with Pirates of the Caribbean dialogue,1,ICVQ6wfZr3c,0.7798
MiniLM,cosine,Learn English with Pirates of the Caribbean dialogue,2,UUAENx1NANg,0.725
MiniLM,cosine,Learn English with Pirates of the Caribbean dialogue,3,iuQsu4HOlrA,0.7246
MiniLM,cosine,Learn English with Pirates of the Caribbean dialogue,4,SkViUbosnD4,0.5505
MiniLM,cosine,Learn English with Pirates of the Caribbean dialogue,5,dcCn9a8TC_I,0.5471
MiniLM,cosine,Learn English with Beauty and the Beast conversation,1,aTYNX1pjwwk,0.6532
MiniLM,cosine,Learn English with Beauty and the Beast conversation,2,1jdjbt8W3es,0.641
MiniLM,cosine,Learn English with Beauty and the Beast conversation,3,Ql17ws1pmiQ,0.5916
MiniLM,cosine,Learn English with Beauty and the Beast conversation,4,3xCQrnTYmzY,0.5454
MiniLM,cosine,Learn English with Beauty and the Beast conversation,5,2MlWEVKMD_M,0.5331
MiniLM,cosine,Learn English with Frozen movie scene,1,pKoH9GkEKxQ,0.6645
MiniLM,cosine,Learn English with Frozen movie scene,2,PL7niJMDu5w,0.6607
MiniLM,cosine,Learn English with Frozen movie scene,3,wdh9y2TkIns,0.6077
MiniLM,cosine,Learn English with Frozen movie scene,4,tdn81jlykww,0.6033
MiniLM,cosine,Learn English with Frozen movie scene,5,3W2gRl5UIDY,0.594
MiniLM,cosine,Learn English with Toy Story movie dialogue,1,IYsurU_B4Qo,0.6519
MiniLM,cosine,Learn English with Toy Story movie dialogue,2,q3UH86tOuDI,0.6215
MiniLM,cosine,Learn English with Toy Story movie dialogue,3,SkViUbosnD4,0.6205
MiniLM,cosine,Learn English with Toy Story movie dialogue,4,cHWHY-JpAHw,0.6199
MiniLM,cosine,Learn English with Toy Story movie dialogue,5,pKoH9GkEKxQ,0.6169
MiniLM,cosine,Learn English with Finding Nemo conversation,1,RjNka8csfYU,0.6489
MiniLM,cosine,Learn English with Finding Nemo conversation,2,RlcSm5jf89o,0.6163
MiniLM,cosine,Learn English with Finding Nemo conversation,3,Xr2px4Zmdtg,0.5874
MiniLM,cosine,Learn English with Finding Nemo conversation,4,TswCNV6meYM,0.5709
MiniLM,cosine,Learn English with Finding Nemo conversation,5,lEuqXNfn90Y,0.5542
MiniLM,cosine,Learn English with Aladdin movie dialogue,1,SkViUbosnD4,0.6575
MiniLM,cosine,Learn English with Aladdin movie dialogue,2,cj0_XhE_qxE,0.6312
MiniLM,cosine,Learn English with Aladdin movie dialogue,3,pKoH9GkEKxQ,0.6292
MiniLM,cosine,Learn English with Aladdin movie dialogue,4,Ql17ws1pmiQ,0.6249
MiniLM,cosine,Learn English with Aladdin movie dialogue,5,WU0W0S5ILHY,0.6193
MiniLM,cosine,Learn English with Maleficent movie scene,1,pKoH9GkEKxQ,0.6696
MiniLM,cosine,Learn English with Maleficent movie scene,2,Xmgohhgb3pA,0.6549
MiniLM,cosine,Learn English with Maleficent movie scene,3,wdh9y2TkIns,0.6396
MiniLM,cosine,Learn English with Maleficent movie scene,4,tdn81jlykww,0.6349
MiniLM,cosine,Learn English with Maleficent movie scene,5,YR1n_jid024,0.6161
MiniLM,cosine,Learn English with Ice Age movie conversation,1,RjNka8csfYU,0.6187
MiniLM,cosine,Learn English with Ice Age movie conversation,2,pKoH9GkEKxQ,0.6101
MiniLM,cosine,Learn English with Ice Age movie conversation,3,PL7niJMDu5w,0.6069
MiniLM,cosine,Learn English with Ice Age movie conversation,4,FZXyYuiyq2I,0.5894
MiniLM,cosine,Learn English with Ice Age movie conversation,5,QaP6nhNyHb0,0.5886
MiniLM,cosine,Learn English with Monsters Inc movie dialogue,1,_kafLt9bNyU,0.6919
MiniLM,cosine,Learn English with Monsters Inc movie dialogue,2,k9MTueetF38,0.5939
MiniLM,cosine,Learn English with Monsters Inc movie dialogue,3,SkViUbosnD4,0.5861
MiniLM,cosine,Learn English with Monsters Inc movie dialogue,4,67E6Dl6LaW4,0.5795
MiniLM,cosine,Learn English with Monsters Inc movie dialogue,5,Ql17ws1pmiQ,0.5694
MiniLM,cosine,Learn English with Shrek movie expressions,1,Sev_UnaqWmM,0.7287
MiniLM,cosine,Learn English with Shrek movie expressions,2,esG_czN6sOc,0.6905
MiniLM,cosine,Learn English with Shrek movie expressions,3,WU0W0S5ILHY,0.5753
MiniLM,cosine,Learn English with Shrek movie expressions,4,Ns9o3Ixysqo,0.5563
MiniLM,cosine,Learn English with Shrek movie expressions,5,Ql17ws1pmiQ,0.5562
MiniLM,cosine,Learn English with Disney movie conversations,1,SkViUbosnD4,0.7734
MiniLM,cosine,Learn English with Disney movie conversations,2,3xCQrnTYmzY,0.7313
MiniLM,cosine,Learn English with Disney movie conversations,3,Ql17ws1pmiQ,0.7177
MiniLM,cosine,Learn English with Disney movie conversations,4,q3UH86tOuDI,0.7137
MiniLM,cosine,Learn English with Disney movie conversations,5,67E6Dl6LaW4,0.7083
MiniLM,cosine,Learn English with How I Met Your Mother dialogue,1,RQuL3lsuarQ,0.502
MiniLM,cosine,Learn English with How I Met Your Mother dialogue,2,KEWge76EHpA,0.4744
MiniLM,cosine,Learn English with How I Met Your Mother dialogue,3,MKv55DyDk0Y,0.4738
MiniLM,cosine,Learn English with How I Met Your Mother dialogue,4,wdh9y2TkIns,0.4694
MiniLM,cosine,Learn English with How I Met Your Mother dialogue,5,v2AQ2k8PSI0,0.4677
MiniLM,cosine,Learn English with Friends TV series conversation,1,2li3fhbUnXI,0.6757
MiniLM,cosine,Learn English with Friends TV series conversation,2,RQuL3lsuarQ,0.6666
MiniLM,cosine,Learn English with Friends TV series conversation,3,fRseMUZ2NOM,0.6435
MiniLM,cosine,Learn English with Friends TV series conversation,4,FZoeUNG_x4I,0.6386
MiniLM,cosine,Learn English with Friends TV series conversation,5,uW-I9SFuU1A,0.637
MiniLM,cosine,Learn English with rap songs pronunciation,1,soZc03vH_qQ,0.6902
MiniLM,cosine,Learn English with rap songs pronunciation,2,gj9SQk-rlkQ,0.6529
MiniLM,cosine,Learn English with rap songs pronunciation,3,VAAOTyfO-Oo,0.6101
