query,rank,video_id,score
How do you build a video sharing app using Next.js?,1,IBTx5aGj-6U,-0.6917115935874179
How do you build a video sharing app using Next.js?,2,IcOiX-jynfI,-0.961643576850157
How do you build a video sharing app using Next.js?,3,KCQsP91Wor0,-0.9739527076043849
How do you build a video sharing app using Next.js?,4,jBf7of9JTV8,-1.0198348692152912
How do you build a video sharing app using Next.js?,5,Q-cPtlYG1cY,-1.0452421560668352
What are closures in JavaScript?,1,U6-RekkuORI,-0.42105891652122984
What are closures in JavaScript?,2,9kKNFP9srjc,-0.7135265653727676
What are closures in JavaScript?,3,UtV8MfnuIEg,-0.8646211933092312
What are closures in JavaScript?,4,kFEBs8wuhiU,-0.9656807809851781
What are closures in JavaScript?,5,ry_mcAPVTOc,-0.995456923042483
How do regular expressions work in programming?,1,uJAUeXLXHrY,-0.7922621357160674
How do regular expressions work in programming?,2,fQ51cM44o7I,-1.043483027210613
How do regular expressions work in programming?,3,Z_c4byLrNBU,-1.0988297617190508
How do regular expressions work in programming?,4,VvKcxBBqQJ8,-1.1188952950208249
How do regular expressions work in programming?,5,P7PMA3X1tf8,-1.1200083024788983
What is integration testing in software development?,1,s950xhRvqYQ,-0.9995609358440047
What is integration testing in software development?,2,Yygu7TBWdPs,-1.055406563617892
What is integration testing in software development?,3,DIRnYM2dOs0,-1.1188558165527358
What is integration testing in software development?,4,T23Bs75F7ZQ,-1.1250893744717152
What is integration testing in software development?,5,_-Tj3bPSYCI,-1.1375603483631735
How do you contribute to open source projects?,1,FHBBaSUQk1Y,-0.7089489415175804
How do you contribute to open source projects?,2,HihwnUepmdg,-0.7853022261941496
How do you contribute to open source projects?,3,4RGkpzTJjfg,-0.7914864120922871
How do you contribute to open source projects?,4,cw02dMpWStI,-0.8269649752664263
How do you contribute to open source projects?,5,7lEWtEG3vd0,-0.8369126681991012
What is Git and why is it important?,1,ZldNCx4AvEM,-0.7401752808313051
What is Git and why is it important?,2,mAFoROnOfHs,-0.8065296867747338
What is Git and why is it important?,3,7lEWtEG3vd0,-1.091675342539874
What is Git and why is it important?,4,wP8SiwiExBk,-1.106221593757968
What is Git and why is it important?,5,4RGkpzTJjfg,-1.1102750658162344
How do developers collaborate using GitHub?,1,mAFoROnOfHs,-0.8570639718168293
How do developers collaborate using GitHub?,2,ZldNCx4AvEM,-0.9068292417637477
How do developers collaborate using GitHub?,3,CcQwCGUdRmw,-0.9659157465135653
How do developers collaborate using GitHub?,4,7lEWtEG3vd0,-1.0372430877029066
How do developers collaborate using GitHub?,5,FHBBaSUQk1Y,-1.045642933103506
What is Kubernetes used for?,1,hK8wf18SasY,-0.7970985106513284
What is Kubernetes used for?,2,Fr9GqFwl6NM,-0.9165143994458255
What is Kubernetes used for?,3,l57xKN6OBhY,-0.919429075583755
What is Kubernetes used for?,4,_4uQI4ihGVU,-0.9224200726023444
What is Kubernetes used for?,5,odP153inZUo,-0.9342618046487344
How does Kubernetes manage containers?,1,hK8wf18SasY,-0.7931765113213943
How does Kubernetes manage containers?,2,l57xKN6OBhY,-0.8975624011524713
How does Kubernetes manage containers?,3,Fr9GqFwl6NM,-0.8984899569676659
How does Kubernetes manage containers?,4,odP153inZUo,-0.9399740225253964
How does Kubernetes manage containers?,5,_4uQI4ihGVU,-0.9468995358882508
What is Docker and how does it work?,1,lEcULR30-GM,-0.9776108511571343
What is Docker and how does it work?,2,hK8wf18SasY,-1.0317395490100698
What is Docker and how does it work?,3,0ffwhxW-uyw,-1.0513643798075525
What is Docker and how does it work?,4,F9gB5b4jgOI,-1.0922923104644022
What is Docker and how does it work?,5,_4uQI4ihGVU,-1.1168625169071658
What is containerization in software development?,1,lEcULR30-GM,-0.9985679208134582
What is containerization in software development?,2,hK8wf18SasY,-1.001547669603793
What is containerization in software development?,3,0ffwhxW-uyw,-1.037267023347589
What is containerization in software development?,4,_4uQI4ihGVU,-1.0521289862461571
What is containerization in software development?,5,y5aKEyPfLKs,-1.069475370300875
How do you deploy applications using Docker?,1,lEcULR30-GM,-0.9006760754830211
How do you deploy applications using Docker?,2,0ffwhxW-uyw,-1.0360070312571954
How do you deploy applications using Docker?,3,hK8wf18SasY,-1.0722392553055122
How do you deploy applications using Docker?,4,_4uQI4ihGVU,-1.105136720409643
How do you deploy applications using Docker?,5,F9gB5b4jgOI,-1.107825712698185
What is continuous integration in DevOps?,1,lEcULR30-GM,-1.0383345087294575
What is continuous integration in DevOps?,2,s950xhRvqYQ,-1.047351949383173
What is continuous integration in DevOps?,3,ZldNCx4AvEM,-1.0692641019671714
What is continuous integration in DevOps?,4,rgt5GPFgryI,-1.0699863419925588
What is continuous integration in DevOps?,5,_-Tj3bPSYCI,-1.0848328973123287
What is continuous deployment in DevOps?,1,lEcULR30-GM,-1.0427671462604342
What is continuous deployment in DevOps?,2,rgt5GPFgryI,-1.0944780096958802
What is continuous deployment in DevOps?,3,s950xhRvqYQ,-1.1053438960813515
What is continuous deployment in DevOps?,4,_-Tj3bPSYCI,-1.1055315998293866
What is continuous deployment in DevOps?,5,ZldNCx4AvEM,-1.1122362569577542
How does CI/CD improve software development?,1,MdEexYakkHw,-1.0297922032837568
How does CI/CD improve software development?,2,wck2LmaMaB4,-1.0311833095847494
How does CI/CD improve software development?,3,s950xhRvqYQ,-1.0464406424254011
How does CI/CD improve software development?,4,rgt5GPFgryI,-1.0494208144527122
How does CI/CD improve software development?,5,58Tn2xB8kIE,-1.0583291338560625
What is the difference between frontend and backend development?,1,KOutPbKc9UM,-0.9222584576474349
What is the difference between frontend and backend development?,2,yDhCweudqyY,-1.0586711915428657
What is the difference between frontend and backend development?,3,do62-z3z6FM,-1.0640710821428254
What is the difference between frontend and backend development?,4,LzMnsfqjzkA,-1.0974854467979538
What is the difference between frontend and backend development?,5,HEGrkgpe7-Y,-1.102690361188294
What is REST API and how does it work?,1,38GNKtclDdE,-0.8551814242399535
What is REST API and how does it work?,2,R-4_DbV1Su4,-0.9870687752015919
What is REST API and how does it work?,3,KOutPbKc9UM,-0.9940743843214911
What is REST API and how does it work?,4,QSFWSjBHIkw,-1.044977239519482
What is REST API and how does it work?,5,F9gB5b4jgOI,-1.0520544188471423
How do you build APIs using Node.js?,1,KOutPbKc9UM,-0.873149683436795
How do you build APIs using Node.js?,2,21_I-12f5JE,-0.950945123076538
How do you build APIs using Node.js?,3,38GNKtclDdE,-0.9730289700409391
How do you build APIs using Node.js?,4,F9gB5b4jgOI,-0.9996229634035733
How do you build APIs using Node.js?,5,t76UMpwFNs0,-1.003274081069796
What is Express.js used for?,1,KOutPbKc9UM,-1.0002485505920782
What is Express.js used for?,2,y5aKEyPfLKs,-1.0432464623367803
What is Express.js used for?,3,c6IyCwAV6BY,-1.0605202912964111
What is Express.js used for?,4,KCQsP91Wor0,-1.0623759357238802
What is Express.js used for?,5,HEGrkgpe7-Y,-1.0841805595016893
What is the role of middleware in Express.js?,1,KOutPbKc9UM,-0.9488418597040016
What is the role of middleware in Express.js?,2,t76UMpwFNs0,-1.0275997790849702
What is the role of middleware in Express.js?,3,21_I-12f5JE,-1.0536967849813188
What is the role of middleware in Express.js?,4,qYk_BqGHXEg,-1.0730738633967287
What is the role of middleware in Express.js?,5,y5aKEyPfLKs,-1.0774744890332904
How do you create a full stack web application?,1,b-JFDTZ5e1U,-0.9263010117533304
How do you create a full stack web application?,2,LzMnsfqjzkA,-0.9375986621187711
How do you create a full stack web application?,3,F9gB5b4jgOI,-0.9384148075880181
How do you create a full stack web application?,4,QtiM87MV27w,-0.9671939556996354
How do you create a full stack web application?,5,Q7P20fHJlm4,-0.9766082371452955
What is the role of databases in web development?,1,26ls5lNiijk,-0.9954396858564492
What is the role of databases in web development?,2,c6IyCwAV6BY,-1.0473611526512654
What is the role of databases in web development?,3,u1T8yyEEKWY,-1.0496714687434672
What is the role of databases in web development?,4,HEGrkgpe7-Y,-1.0597459273202243
What is the role of databases in web development?,5,WXk7yDqsKxs,-1.0731206429283866
What is SQL and why is it used?,1,u1T8yyEEKWY,-0.8106564990913194
What is SQL and why is it used?,2,WXk7yDqsKxs,-0.9448499811700267
What is SQL and why is it used?,3,26ls5lNiijk,-0.9551374423735881
What is SQL and why is it used?,4,NdeeSEknp58,-0.9686379198989963
What is SQL and why is it used?,5,KOutPbKc9UM,-1.1295822637119144
What is MongoDB and how does it work?,1,Q7P20fHJlm4,-1.0450972475755385
What is MongoDB and how does it work?,2,UuknxVdqzb4,-1.0518919186269058
What is MongoDB and how does it work?,3,F9gB5b4jgOI,-1.0602293166140342
What is MongoDB and how does it work?,4,VK-2j5CNsvM,-1.0653302263591322
What is MongoDB and how does it work?,5,jBf7of9JTV8,-1.0733804630857147
What is the difference between SQL and NoSQL databases?,1,26ls5lNiijk,-1.0505054481845653
What is the difference between SQL and NoSQL databases?,2,u1T8yyEEKWY,-1.0741576322752842
What is the difference between SQL and NoSQL databases?,3,WXk7yDqsKxs,-1.1290354802975662
What is the difference between SQL and NoSQL databases?,4,NdeeSEknp58,-1.1296512248636486
What is the difference between SQL and NoSQL databases?,5,KOutPbKc9UM,-1.1533254578870895
What is JavaScript closure and why is it useful?,1,U6-RekkuORI,-0.46685339252355
What is JavaScript closure and why is it useful?,2,9kKNFP9srjc,-0.77603505475644
What is JavaScript closure and why is it useful?,3,UtV8MfnuIEg,-0.8727447293186535
What is JavaScript closure and why is it useful?,4,kFEBs8wuhiU,-0.9597502141630498
What is JavaScript closure and why is it useful?,5,c6IyCwAV6BY,-0.9810346151419878
How do asynchronous functions work in JavaScript?,1,UtV8MfnuIEg,-0.9140187065946727
How do asynchronous functions work in JavaScript?,2,U6-RekkuORI,-0.9400730625462353
How do asynchronous functions work in JavaScript?,3,kFEBs8wuhiU,-0.9742671515344465
How do asynchronous functions work in JavaScript?,4,URJBQ3b9n6Y,-0.9786659603648568
How do asynchronous functions work in JavaScript?,5,9kKNFP9srjc,-1.02026246128712
What are promises in JavaScript?,1,U6-RekkuORI,-0.9852856233207503
What are promises in JavaScript?,2,UtV8MfnuIEg,-0.9960358492176411
What are promises in JavaScript?,3,kFEBs8wuhiU,-1.0300287930663463
What are promises in JavaScript?,4,URJBQ3b9n6Y,-1.0649051985720923
What are promises in JavaScript?,5,iMLGy2wEE_g,-1.0678544477646468
What is async and await in JavaScript?,1,UtV8MfnuIEg,-1.0105803492556358
What is async and await in JavaScript?,2,kFEBs8wuhiU,-1.0548346146654541
What is async and await in JavaScript?,3,876aSEUA_8c,-1.0699435451445916
What is async and await in JavaScript?,4,c6IyCwAV6BY,-1.0811258096850727
What is async and await in JavaScript?,5,U6-RekkuORI,-1.084266594707455
How does the event loop work in JavaScript?,1,URJBQ3b9n6Y,-0.8726643932069049
How does the event loop work in JavaScript?,2,UtV8MfnuIEg,-0.9060111015691276
How does the event loop work in JavaScript?,3,kFEBs8wuhiU,-0.9293807060224432
How does the event loop work in JavaScript?,4,c6IyCwAV6BY,-0.9578316418103475
How does the event loop work in JavaScript?,5,U6-RekkuORI,-0.9738039817457006
What is Python used for in AI development?,1,UsfpzxZNsPo,-0.8211216912870328
What is Python used for in AI development?,2,MdEexYakkHw,-0.8328697236057346
What is Python used for in AI development?,3,YtHdaXuOAks,-0.8906738532234447
What is Python used for in AI development?,4,suuDVhYXe5Y,-0.8977348198562024
What is Python used for in AI development?,5,MZVyASCY8sQ,-0.9317956963023015
How do Python libraries help in data science?,1,CMEWVn1uZpQ,-0.9203522433111402
How do Python libraries help in data science?,2,T23Bs75F7ZQ,-1.0437440570327583
How do Python libraries help in data science?,3,UsfpzxZNsPo,-1.0510383950334221
How do Python libraries help in data science?,4,iLRZi0Gu8Go,-1.0612059350605278
How do Python libraries help in data science?,5,KUbbb0T1YZ8,-1.0801573143876926
What is NumPy used for in Python?,1,CMEWVn1uZpQ,-1.0391136444324285
What is NumPy used for in Python?,2,KUbbb0T1YZ8,-1.0885030138883223
What is NumPy used for in Python?,3,E0bwEAWmVEM,-1.0904429218376472
What is NumPy used for in Python?,4,9KnVcWXUL8w,-1.1080707937979029
What is NumPy used for in Python?,5,UsfpzxZNsPo,-1.1136015186019594
What is pandas used for in data analysis?,1,CMEWVn1uZpQ,-1.0070362841870524
What is pandas used for in data analysis?,2,PcbuKRNtCUc,-1.1042388236666514
What is pandas used for in data analysis?,3,T23Bs75F7ZQ,-1.1115003378075825
What is pandas used for in data analysis?,4,GAdgTK2Esn4,-1.1237960415470434
What is pandas used for in data analysis?,5,E0bwEAWmVEM,-1.145771817748602
What is data visualization in Python?,1,CMEWVn1uZpQ,-0.9141644504860571
What is data visualization in Python?,2,XSJD5ay1D_8,-0.9983926554577308
