query,rank,video_id,score
How do you build a video sharing app using Next.js?,1,IBTx5aGj-6U,0.6345519
How do you build a video sharing app using Next.js?,2,jBf7of9JTV8,0.45464724
How do you build a video sharing app using Next.js?,3,qYk_BqGHXEg,0.43989885
How do you build a video sharing app using Next.js?,4,KCQsP91Wor0,0.42377695
How do you build a video sharing app using Next.js?,5,6ChzCaljcaI,0.41431135
What are closures in JavaScript?,1,U6-RekkuORI,0.83382607
What are closures in JavaScript?,2,9kKNFP9srjc,0.60791075
What are closures in JavaScript?,3,UtV8MfnuIEg,0.545153
What are closures in JavaScript?,4,kFEBs8wuhiU,0.4390902
What are closures in JavaScript?,5,ja4OAzPLuM8,0.42690396
How do regular expressions work in programming?,1,uJAUeXLXHrY,0.4612798
How do regular expressions work in programming?,2,fQ51cM44o7I,0.34461102
How do regular expressions work in programming?,3,ikXDYsdg15c,0.3297908
How do regular expressions work in programming?,4,f9-Vf_WNvT0,0.28877872
How do regular expressions work in programming?,5,taSwtU-sldo,0.27549982
What is integration testing in software development?,1,s950xhRvqYQ,0.37170428
What is integration testing in software development?,2,Yygu7TBWdPs,0.34936464
What is integration testing in software development?,3,do62-z3z6FM,0.3035735
What is integration testing in software development?,4,vc5T3VmCar0,0.28280085
What is integration testing in software development?,5,YCS3HsFTbTQ,0.28057495
How do you contribute to open source projects?,1,FHBBaSUQk1Y,0.7017234
How do you contribute to open source projects?,2,c1Op7YSTwhg,0.63420665
How do you contribute to open source projects?,3,4RGkpzTJjfg,0.6253376
How do you contribute to open source projects?,4,cw02dMpWStI,0.5988833
How do you contribute to open source projects?,5,HihwnUepmdg,0.5637766
What is Git and why is it important?,1,ZldNCx4AvEM,0.59048986
What is Git and why is it important?,2,mAFoROnOfHs,0.578806
What is Git and why is it important?,3,voPcxCFMbbM,0.26962715
What is Git and why is it important?,4,CcQwCGUdRmw,0.250367
What is Git and why is it important?,5,wP8SiwiExBk,0.20615967
How do developers collaborate using GitHub?,1,mAFoROnOfHs,0.6091423
How do developers collaborate using GitHub?,2,ZldNCx4AvEM,0.51085234
How do developers collaborate using GitHub?,3,CcQwCGUdRmw,0.42555276
How do developers collaborate using GitHub?,4,cw02dMpWStI,0.3961913
How do developers collaborate using GitHub?,5,FHBBaSUQk1Y,0.36352548
What is Kubernetes used for?,1,hK8wf18SasY,0.5545258
What is Kubernetes used for?,2,Fr9GqFwl6NM,0.55116516
What is Kubernetes used for?,3,_4uQI4ihGVU,0.5287272
What is Kubernetes used for?,4,l57xKN6OBhY,0.5271172
What is Kubernetes used for?,5,odP153inZUo,0.51827496
How does Kubernetes manage containers?,1,Fr9GqFwl6NM,0.57018244
How does Kubernetes manage containers?,2,l57xKN6OBhY,0.5390328
How does Kubernetes manage containers?,3,hK8wf18SasY,0.5352558
How does Kubernetes manage containers?,4,odP153inZUo,0.50026524
How does Kubernetes manage containers?,5,_4uQI4ihGVU,0.4609503
What is Docker and how does it work?,1,lEcULR30-GM,0.40060037
What is Docker and how does it work?,2,0ffwhxW-uyw,0.3084416
What is Docker and how does it work?,3,wP8SiwiExBk,0.28891283
What is Docker and how does it work?,4,hK8wf18SasY,0.24151544
What is Docker and how does it work?,5,gwNPV882tkc,0.238321
What is containerization in software development?,1,lEcULR30-GM,0.35335517
What is containerization in software development?,2,0ffwhxW-uyw,0.31404018
What is containerization in software development?,3,hK8wf18SasY,0.2919763
What is containerization in software development?,4,Fr9GqFwl6NM,0.28710344
What is containerization in software development?,5,YCS3HsFTbTQ,0.27014
How do you deploy applications using Docker?,1,lEcULR30-GM,0.48916173
How do you deploy applications using Docker?,2,0ffwhxW-uyw,0.3439432
How do you deploy applications using Docker?,3,hK8wf18SasY,0.27025005
How do you deploy applications using Docker?,4,F9gB5b4jgOI,0.2598573
How do you deploy applications using Docker?,5,9vkkJ4tC4SQ,0.24144834
What is continuous integration in DevOps?,1,JfiWi8RjN-8,0.34865636
