query,rank,video_id,score
How do you build a video sharing app using Next.js?,1,IBTx5aGj-6U,0.6416073
How do you build a video sharing app using Next.js?,2,jBf7of9JTV8,0.4031691
How do you build a video sharing app using Next.js?,3,tPkJLnDqAKk,0.36368567
How do you build a video sharing app using Next.js?,4,KCQsP91Wor0,0.33440697
How do you build a video sharing app using Next.js?,5,tdsQwuyS6DQ,0.33362386
What are closures in JavaScript?,1,U6-RekkuORI,0.8009681
What are closures in JavaScript?,2,9kKNFP9srjc,0.6030723
What are closures in JavaScript?,3,UtV8MfnuIEg,0.4467625
What are closures in JavaScript?,4,kFEBs8wuhiU,0.44072872
What are closures in JavaScript?,5,c6IyCwAV6BY,0.4052536
How do regular expressions work in programming?,1,uJAUeXLXHrY,0.3926152
How do regular expressions work in programming?,2,pdleuy5lljY,0.32049042
How do regular expressions work in programming?,3,ikXDYsdg15c,0.2915727
How do regular expressions work in programming?,4,fQ51cM44o7I,0.27298957
How do regular expressions work in programming?,5,o54etZM-DrY,0.2547713
What is integration testing in software development?,1,s950xhRvqYQ,0.39836842
What is integration testing in software development?,2,Yygu7TBWdPs,0.31680566
What is integration testing in software development?,3,9vkkJ4tC4SQ,0.26823226
What is integration testing in software development?,4,MdEexYakkHw,0.26161253
What is integration testing in software development?,5,ZldNCx4AvEM,0.25515676
How do you contribute to open source projects?,1,FHBBaSUQk1Y,0.65000534
How do you contribute to open source projects?,2,c1Op7YSTwhg,0.5324379
How do you contribute to open source projects?,3,4RGkpzTJjfg,0.53235227
How do you contribute to open source projects?,4,7lEWtEG3vd0,0.5036177
How do you contribute to open source projects?,5,cw02dMpWStI,0.4871961
What is Git and why is it important?,1,mAFoROnOfHs,0.5730107
What is Git and why is it important?,2,ZldNCx4AvEM,0.53341174
What is Git and why is it important?,3,CcQwCGUdRmw,0.2668559
What is Git and why is it important?,4,voPcxCFMbbM,0.24467655
What is Git and why is it important?,5,FHBBaSUQk1Y,0.23209773
How do developers collaborate using GitHub?,1,mAFoROnOfHs,0.55411756
How do developers collaborate using GitHub?,2,ZldNCx4AvEM,0.47648966
How do developers collaborate using GitHub?,3,CcQwCGUdRmw,0.3945139
How do developers collaborate using GitHub?,4,voPcxCFMbbM,0.3679097
How do developers collaborate using GitHub?,5,cw02dMpWStI,0.36328787
What is Kubernetes used for?,1,hK8wf18SasY,0.5544444
What is Kubernetes used for?,2,_4uQI4ihGVU,0.51256967
What is Kubernetes used for?,3,Fr9GqFwl6NM,0.48923734
What is Kubernetes used for?,4,odP153inZUo,0.44551432
What is Kubernetes used for?,5,l57xKN6OBhY,0.4347597
How does Kubernetes manage containers?,1,hK8wf18SasY,0.5419464
How does Kubernetes manage containers?,2,Fr9GqFwl6NM,0.48924097
How does Kubernetes manage containers?,3,_4uQI4ihGVU,0.47667462
How does Kubernetes manage containers?,4,odP153inZUo,0.44532573
How does Kubernetes manage containers?,5,l57xKN6OBhY,0.43193442
What is Docker and how does it work?,1,lEcULR30-GM,0.41427392
