Model,Metric,Query,Expected Video,Retrieved Rank
MiniLM,cosine,What are NumPy data types,fPopFeqw5sk,1
MiniLM,cosine,What are important NumPy functions,81i_uSX9Vic,2
MiniLM,cosine,What are Python iterators,k0D3MQwLn7A,1
MiniLM,cosine,What are Python generators,ZBlxaXMN_hU,1
MiniLM,cosine,What is Matplotlib in Python,c9vhHUGdav0,1
MiniLM,cosine,How to customize Matplotlib plots,hunq_UOdmoo,1
MiniLM,cosine,What is a Pandas DataFrame,OUnnuKHbmbU,1
MiniLM,cosine,What is NumPy slicing,6WaBryk4fkE,1
MiniLM,cosine,How to convert decimal to hexadecimal,mjiHc965UME,2
MiniLM,cosine,What is the binary number system,aMME_rYkoOU,4
MiniLM,cosine,What are arrays in C programming,tg5Wv9Ba1lI,55
MiniLM,cosine,What is dynamic memory allocation in C,J6qXny_UAK4,69
MiniLM,cosine,How to read files in C,ZwSyuqbeN0c,23
MiniLM,cosine,What are for loops in C,rUXjvybSPWc,13
MiniLM,cosine,What are function prototypes in C,eIlcl-mt3tg,6
MiniLM,cosine,What is a switch statement in C,Jx12Vf0VxmY,9
MiniLM,cosine,What is Java multithreading,y4siEcxgOpM,70
MiniLM,cosine,What are Java anonymous classes,6Hk2aE_SRzY,77
MiniLM,cosine,How to write files in Java,Z5smVeUVNFU,72
MiniLM,cosine,What is Java ArrayList,zdAggA1q0eo,57
MiniLM,cosine,What are Java getters and setters,NEj2H7SoTzQ,122
MiniLM,cosine,What is method overriding in Java,NtlSzRWhaOc,103
MiniLM,cosine,What are constructors in Java,wt194lO5kKE,68
MiniLM,cosine,What is object oriented programming in Java,taI7G6U29L8,20
MiniLM,cosine,What are 2D arrays in Java,P_iOnmdww8E,45
MiniLM,cosine,What is Python programming,Pg0aoSbrqOE,126
MiniLM,cosine,What are Python projects for beginners,wsTSREgCE5E,103
MiniLM,cosine,How to build a weather app in Python,hx_DRanBRRM,211
MiniLM,cosine,What is React JS,ZD7CB6wKg8A,143
MiniLM,cosine,What is async await in JavaScript,LN45TyPWAAg,111
MiniLM,dot,What are NumPy data types,fPopFeqw5sk,1
MiniLM,dot,What are important NumPy functions,81i_uSX9Vic,2
MiniLM,dot,What are Python iterators,k0D3MQwLn7A,1
MiniLM,dot,What are Python generators,ZBlxaXMN_hU,1
MiniLM,dot,What is Matplotlib in Python,c9vhHUGdav0,1
MiniLM,dot,How to customize Matplotlib plots,hunq_UOdmoo,1
MiniLM,dot,What is a Pandas DataFrame,OUnnuKHbmbU,1
MiniLM,dot,What is NumPy slicing,6WaBryk4fkE,1
MiniLM,dot,How to convert decimal to hexadecimal,mjiHc965UME,2
MiniLM,dot,What is the binary number system,aMME_rYkoOU,4
MiniLM,dot,What are arrays in C programming,tg5Wv9Ba1lI,55
MiniLM,dot,What is dynamic memory allocation in C,J6qXny_UAK4,69
MiniLM,dot,How to read files in C,ZwSyuqbeN0c,23
MiniLM,dot,What are for loops in C,rUXjvybSPWc,13
MiniLM,dot,What are function prototypes in C,eIlcl-mt3tg,6
MiniLM,dot,What is a switch statement in C,Jx12Vf0VxmY,9
MiniLM,dot,What is Java multithreading,y4siEcxgOpM,70
MiniLM,dot,What are Java anonymous classes,6Hk2aE_SRzY,77
MiniLM,dot,How to write files in Java,Z5smVeUVNFU,72
MiniLM,dot,What is Java ArrayList,zdAggA1q0eo,57
MiniLM,dot,What are Java getters and setters,NEj2H7SoTzQ,122
MiniLM,dot,What is method overriding in Java,NtlSzRWhaOc,103
MiniLM,dot,What are constructors in Java,wt194lO5kKE,68
MiniLM,dot,What is object oriented programming in Java,taI7G6U29L8,20
MiniLM,dot,What are 2D arrays in Java,P_iOnmdww8E,45
MiniLM,dot,What is Python programming,Pg0aoSbrqOE,126
