Query,Rank,Video,Score
What is diagram visually?,1,80_RUmj-4B0,0.4222862720489502
What is diagram visually?,2,gRuI6HzyuPY,0.39859825372695923
What is diagram visually?,3,la0wPRCAiy0,0.37663155794143677
What is diagram visually?,4,QxfYZpE9ch8,0.34650304913520813
What is diagram visually?,5,67Ekk-rM5dE,0.3035217225551605
Explain performance dns,1,LN-FyvIgwKs,0.5872238278388977
Explain performance dns,2,Lsd80uR9Shs,0.5511426329612732
Explain performance dns,3,xv0Be4QfkH0,0.5483353734016418
Explain performance dns,4,bJ9NnLLMQ78,0.5126780271530151
Explain performance dns,5,UpZWf1tH6K0,0.4948297142982483
Explain benchmarks dragonfly,1,j1PkkSddZcE,0.6909366250038147
Explain benchmarks dragonfly,2,I6dpN0geIb4,0.3681532144546509
Explain benchmarks dragonfly,3,sKITdF9ZEqQ,0.3399237096309662
Explain benchmarks dragonfly,4,KRwpzG7l4a0,0.3300488293170929
Explain benchmarks dragonfly,5,NQoF0knFy7U,0.30775099992752075
How does processing stream work?,1,mG3xQb_-rV4,0.7978020906448364
How does processing stream work?,2,_acvJC3Smx4,0.6124253273010254
How does processing stream work?,3,Gp5Et_nc_Kw,0.4754740595817566
How does processing stream work?,4,XYvQHjWJJTE,0.45973435044288635
How does processing stream work?,5,ZOoMX7uinKw,0.45765233039855957
How does sql injection work?,1,cG4FPks53AU,0.670191764831543
How does sql injection work?,2,WUBWIVCJLHI,0.6561458110809326
How does sql injection work?,3,mTJpFiPQZho,0.5936889052391052
How does sql injection work?,4,ftMW4TtzDEk,0.5801960229873657
How does sql injection work?,5,tb-hlGa71sk,0.5791645646095276
What is architecture sidecar?,1,FMxUYhYDiys,0.5814871788024902
What is architecture sidecar?,2,sh2nwXJLDkE,0.5173730850219727
What is architecture sidecar?,3,z9wuLNJdiqQ,0.5062030553817749
What is architecture sidecar?,4,X5LxprTgMQQ,0.44375813007354736
What is architecture sidecar?,5,iDJvRLQAL0I,0.3927284777164459
What is apis harder?,1,qnXTTmPPiz0,0.5671546459197998
What is apis harder?,2,K6bkjs1q4cM,0.5068395137786865
What is apis harder?,3,oyYnRVQvxv4,0.47954460978507996
What is apis harder?,4,KF-3jtGH6Yk,0.4558055102825165
What is apis harder?,5,pJ83mmqcvoQ,0.4361532926559448
How does advantages fusionaut work?,1,t3HvCLYnrRY,0.492689311504364
How does advantages fusionaut work?,2,3Lzubtz9SUY,0.38427597284317017
How does advantages fusionaut work?,3,9-n5oJG4XMY,0.3400561213493347
How does advantages fusionaut work?,4,6DQzFUDkQB8,0.3325499892234802
How does advantages fusionaut work?,5,Pmzrogq4W4I,0.33243149518966675
Explain legacy microservices,1,9-n5oJG4XMY,0.6395177841186523
Explain legacy microservices,2,DpuQ3-7e-rY,0.6361654996871948
Explain legacy microservices,3,_iqNjvaUVsM,0.6242412328720093
Explain legacy microservices,4,VQ97sacUT3g,0.6209717988967896
Explain legacy microservices,5,E7kXoO9Z0NA,0.6063059568405151
What is structured apps?,1,126ALse1rWA,0.4476791322231293
What is structured apps?,2,SZ4PRZ8UbFU,0.44060632586479187
What is structured apps?,3,oyYnRVQvxv4,0.43815094232559204
What is structured apps?,4,fGmIjstlFMU,0.4255240857601166
What is structured apps?,5,04xGE47faUY,0.42354580760002136
Explain monolithic architectures,1,E7kXoO9Z0NA,0.5086245536804199
Explain monolithic architectures,2,ZYuu8sWUQww,0.47463417053222656
Explain monolithic architectures,3,126ALse1rWA,0.47234857082366943
Explain monolithic architectures,4,PLi-dO1RiFw,0.47017988562583923
Explain monolithic architectures,5,4o9dUAp7xxk,0.4632205069065094
How does binary search work?,1,HWRcoT4Lr5E,0.7173428535461426
How does binary search work?,2,1y50YhnkEcQ,0.6225652694702148
How does binary search work?,3,la0wPRCAiy0,0.38874107599258423
How does binary search work?,4,cSqbQnQ5imU,0.3783756494522095
How does binary search work?,5,GT0En1dGntY,0.36454421281814575
Explain apis mcp,1,PS9kw4W52Gs,0.7259529829025269
Explain apis mcp,2,8PnVhLQTDoQ,0.6521081924438477
Explain apis mcp,3,MI796yMnOF0,0.6414510011672974
Explain apis mcp,4,YypKPJ6pYMY,0.6333298683166504
Explain apis mcp,5,if6OL6trunU,0.6016302704811096
How does file jar work?,1,0-BBs7q0HzI,0.5449904203414917
How does file jar work?,2,xYv3tBvJavM,0.35212966799736023
How does file jar work?,3,-QHsVHziSZQ,0.3417159914970398
How does file jar work?,4,0NtIcbSsjBc,0.32339516282081604
How does file jar work?,5,olcwFuJf8AA,0.3226127624511719
How does authentication api work?,1,K6bkjs1q4cM,0.710505485534668
How does authentication api work?,2,xJA8tP74KD0,0.6943486928939819
How does authentication api work?,3,8d2eG7bdepQ,0.5828510522842407
How does authentication api work?,4,vAT8YJTxhuU,0.5820878744125366
How does authentication api work?,5,0rcMDFU5P8w,0.5578814744949341
Explain sql injection,1,cG4FPks53AU,0.6832402348518372
Explain sql injection,2,WUBWIVCJLHI,0.6643365621566772
Explain sql injection,3,tb-hlGa71sk,0.6044822931289673
Explain sql injection,4,mTJpFiPQZho,0.6016939878463745
Explain sql injection,5,ftMW4TtzDEk,0.5857223868370056
Explain machine docker,1,KOwxqhFUgts,0.7872260808944702
Explain machine docker,2,Dwufy7QtZR0,0.5914813876152039
Explain machine docker,3,Et-dfMyW3qc,0.5609848499298096
Explain machine docker,4,2b2jcfLMkfc,0.41666290163993835
