query,rank,video_id,score
How do you build a video sharing app using Next.js?,1,IBTx5aGj-6U,0.6747471
How do you build a video sharing app using Next.js?,2,jBf7of9JTV8,0.42553747
How do you build a video sharing app using Next.js?,3,IcOiX-jynfI,0.4156199
How do you build a video sharing app using Next.js?,4,KCQsP91Wor0,0.3762976
How do you build a video sharing app using Next.js?,5,qYk_BqGHXEg,0.3620656
What are closures in JavaScript?,1,U6-RekkuORI,0.8608395
What are closures in JavaScript?,2,9kKNFP9srjc,0.6185095
What are closures in JavaScript?,3,UtV8MfnuIEg,0.5004147
What are closures in JavaScript?,4,ry_mcAPVTOc,0.41934127
What are closures in JavaScript?,5,kFEBs8wuhiU,0.4058741
How do regular expressions work in programming?,1,uJAUeXLXHrY,0.55953664
How do regular expressions work in programming?,2,fQ51cM44o7I,0.32025686
How do regular expressions work in programming?,3,P7PMA3X1tf8,0.28674763
How do regular expressions work in programming?,4,taSwtU-sldo,0.28269762
How do regular expressions work in programming?,5,j-Mc04RlGXc,0.28038698
What is integration testing in software development?,1,s950xhRvqYQ,0.37489286
What is integration testing in software development?,2,Yygu7TBWdPs,0.29110596
What is integration testing in software development?,3,T23Bs75F7ZQ,0.27561003
What is integration testing in software development?,4,JfiWi8RjN-8,0.2624307
What is integration testing in software development?,5,DIRnYM2dOs0,0.25780478
How do you contribute to open source projects?,1,FHBBaSUQk1Y,0.68375087
How do you contribute to open source projects?,2,4RGkpzTJjfg,0.60482997
How do you contribute to open source projects?,3,HihwnUepmdg,0.60290563
How do you contribute to open source projects?,4,c1Op7YSTwhg,0.52494943
How do you contribute to open source projects?,5,cw02dMpWStI,0.51038563
What is Git and why is it important?,1,ZldNCx4AvEM,0.6373267
What is Git and why is it important?,2,mAFoROnOfHs,0.6030355
What is Git and why is it important?,3,wP8SiwiExBk,0.31681454
What is Git and why is it important?,4,4RGkpzTJjfg,0.3017
What is Git and why is it important?,5,FHBBaSUQk1Y,0.30169338
How do developers collaborate using GitHub?,1,mAFoROnOfHs,0.56100106
How do developers collaborate using GitHub?,2,ZldNCx4AvEM,0.50008667
How do developers collaborate using GitHub?,3,CcQwCGUdRmw,0.41129562
How do developers collaborate using GitHub?,4,FHBBaSUQk1Y,0.3883705
How do developers collaborate using GitHub?,5,4RGkpzTJjfg,0.32987037
What is Kubernetes used for?,1,hK8wf18SasY,0.61442
What is Kubernetes used for?,2,Fr9GqFwl6NM,0.5309979
What is Kubernetes used for?,3,l57xKN6OBhY,0.5279088
What is Kubernetes used for?,4,_4uQI4ihGVU,0.49450523
What is Kubernetes used for?,5,odP153inZUo,0.49215645
How does Kubernetes manage containers?,1,hK8wf18SasY,0.6175386
How does Kubernetes manage containers?,2,l57xKN6OBhY,0.5477747
How does Kubernetes manage containers?,3,Fr9GqFwl6NM,0.54735523
How does Kubernetes manage containers?,4,odP153inZUo,0.4868035
How does Kubernetes manage containers?,5,_4uQI4ihGVU,0.47162533
What is Docker and how does it work?,1,lEcULR30-GM,0.4251058
What is Docker and how does it work?,2,hK8wf18SasY,0.39985967
What is Docker and how does it work?,3,0ffwhxW-uyw,0.3440335
What is Docker and how does it work?,4,l57xKN6OBhY,0.2979282
What is Docker and how does it work?,5,_4uQI4ihGVU,0.29624373
What is containerization in software development?,1,hK8wf18SasY,0.43055418
What is containerization in software development?,2,lEcULR30-GM,0.40439844
What is containerization in software development?,3,_4uQI4ihGVU,0.36644697
What is containerization in software development?,4,0ffwhxW-uyw,0.35875568
What is containerization in software development?,5,xHUwGx-ZlTM,0.35759896
How do you deploy applications using Docker?,1,lEcULR30-GM,0.49735868
How do you deploy applications using Docker?,2,0ffwhxW-uyw,0.36006176
How do you deploy applications using Docker?,3,hK8wf18SasY,0.35725448
How do you deploy applications using Docker?,4,_4uQI4ihGVU,0.30927104
How do you deploy applications using Docker?,5,Fr9GqFwl6NM,0.29699278
What is continuous integration in DevOps?,1,lEcULR30-GM,0.3638981
What is continuous integration in DevOps?,2,JfiWi8RjN-8,0.34958106
What is continuous integration in DevOps?,3,ZldNCx4AvEM,0.33959347
What is continuous integration in DevOps?,4,s950xhRvqYQ,0.32598075
What is continuous integration in DevOps?,5,do62-z3z6FM,0.30203697
What is continuous deployment in DevOps?,1,lEcULR30-GM,0.3592858
What is continuous deployment in DevOps?,2,ZldNCx4AvEM,0.29272163
What is continuous deployment in DevOps?,3,JfiWi8RjN-8,0.27711567
What is continuous deployment in DevOps?,4,do62-z3z6FM,0.27271318
What is continuous deployment in DevOps?,5,s950xhRvqYQ,0.26356128
How does CI/CD improve software development?,1,MdEexYakkHw,0.37326407
How does CI/CD improve software development?,2,wck2LmaMaB4,0.36697596
How does CI/CD improve software development?,3,4RGkpzTJjfg,0.3541323
How does CI/CD improve software development?,4,Fi8vnYgMiHA,0.35406172
How does CI/CD improve software development?,5,FHBBaSUQk1Y,0.35231704
What is the difference between frontend and backend development?,1,KOutPbKc9UM,0.4982667
What is the difference between frontend and backend development?,2,yDhCweudqyY,0.35173446
What is the difference between frontend and backend development?,3,do62-z3z6FM,0.34955043
What is the difference between frontend and backend development?,4,LzMnsfqjzkA,0.31648928
What is the difference between frontend and backend development?,5,HEGrkgpe7-Y,0.31256944
What is REST API and how does it work?,1,38GNKtclDdE,0.564067
What is REST API and how does it work?,2,R-4_DbV1Su4,0.4672594
What is REST API and how does it work?,3,KOutPbKc9UM,0.42945507
What is REST API and how does it work?,4,QSFWSjBHIkw,0.3899243
What is REST API and how does it work?,5,WSsOXo07LeE,0.34928578
How do you build APIs using Node.js?,1,KOutPbKc9UM,0.5423517
How do you build APIs using Node.js?,2,21_I-12f5JE,0.491301
How do you build APIs using Node.js?,3,38GNKtclDdE,0.45634186
How do you build APIs using Node.js?,4,R-4_DbV1Su4,0.4472679
How do you build APIs using Node.js?,5,b-JFDTZ5e1U,0.4179805
What is Express.js used for?,1,KOutPbKc9UM,0.42329836
What is Express.js used for?,2,y5aKEyPfLKs,0.36235636
What is Express.js used for?,3,21_I-12f5JE,0.35240728
What is Express.js used for?,4,HEGrkgpe7-Y,0.33280864
What is Express.js used for?,5,c6IyCwAV6BY,0.3253447
What is the role of middleware in Express.js?,1,KOutPbKc9UM,0.47339648
What is the role of middleware in Express.js?,2,t76UMpwFNs0,0.39086086
What is the role of middleware in Express.js?,3,21_I-12f5JE,0.38831073
What is the role of middleware in Express.js?,4,qYk_BqGHXEg,0.34245324
What is the role of middleware in Express.js?,5,y5aKEyPfLKs,0.32606232
How do you create a full stack web application?,1,b-JFDTZ5e1U,0.49332473
How do you create a full stack web application?,2,LzMnsfqjzkA,0.47918075
How do you create a full stack web application?,3,QtiM87MV27w,0.4693416
How do you create a full stack web application?,4,KOutPbKc9UM,0.4231494
How do you create a full stack web application?,5,F9gB5b4jgOI,0.41556868
What is the role of databases in web development?,1,26ls5lNiijk,0.42807692
What is the role of databases in web development?,2,WXk7yDqsKxs,0.3729166
What is the role of databases in web development?,3,HEGrkgpe7-Y,0.35900176
What is the role of databases in web development?,4,NdeeSEknp58,0.35640863
What is the role of databases in web development?,5,c6IyCwAV6BY,0.33921373
What is SQL and why is it used?,1,u1T8yyEEKWY,0.5551338
What is SQL and why is it used?,2,WXk7yDqsKxs,0.5023397
What is SQL and why is it used?,3,NdeeSEknp58,0.47602084
What is SQL and why is it used?,4,26ls5lNiijk,0.4673832
What is SQL and why is it used?,5,KOutPbKc9UM,0.28556895
What is MongoDB and how does it work?,1,UuknxVdqzb4,0.3873245
What is MongoDB and how does it work?,2,VK-2j5CNsvM,0.38385674
What is MongoDB and how does it work?,3,jBf7of9JTV8,0.36949617
What is MongoDB and how does it work?,4,KOutPbKc9UM,0.34115744
What is MongoDB and how does it work?,5,9tANiA0LKn4,0.33740532
What is the difference between SQL and NoSQL databases?,1,26ls5lNiijk,0.37174606
What is the difference between SQL and NoSQL databases?,2,WXk7yDqsKxs,0.31135
What is the difference between SQL and NoSQL databases?,3,NdeeSEknp58,0.30709466
What is the difference between SQL and NoSQL databases?,4,u1T8yyEEKWY,0.30680847
What is the difference between SQL and NoSQL databases?,5,KOutPbKc9UM,0.2584672
What is JavaScript closure and why is it useful?,1,U6-RekkuORI,0.84050876
What is JavaScript closure and why is it useful?,2,9kKNFP9srjc,0.5719544
What is JavaScript closure and why is it useful?,3,UtV8MfnuIEg,0.493358
What is JavaScript closure and why is it useful?,4,kFEBs8wuhiU,0.41158366
What is JavaScript closure and why is it useful?,5,c6IyCwAV6BY,0.40648198
How do asynchronous functions work in JavaScript?,1,U6-RekkuORI,0.5076161
How do asynchronous functions work in JavaScript?,2,UtV8MfnuIEg,0.45648456
How do asynchronous functions work in JavaScript?,3,kFEBs8wuhiU,0.39754558
How do asynchronous functions work in JavaScript?,4,URJBQ3b9n6Y,0.3956434
How do asynchronous functions work in JavaScript?,5,ry_mcAPVTOc,0.36955917
What are promises in JavaScript?,1,U6-RekkuORI,0.46409085
What are promises in JavaScript?,2,UtV8MfnuIEg,0.37815586
What are promises in JavaScript?,3,QgZoz4xFfLE,0.35244164
What are promises in JavaScript?,4,kFEBs8wuhiU,0.34166408
What are promises in JavaScript?,5,gl0cpq4RJhU,0.33686155
What is async and await in JavaScript?,1,876aSEUA_8c,0.36795837
What is async and await in JavaScript?,2,UtV8MfnuIEg,0.3635633
What is async and await in JavaScript?,3,U6-RekkuORI,0.36166775
What is async and await in JavaScript?,4,ZvZ7gvcmPmI,0.33572286
What is async and await in JavaScript?,5,HEGrkgpe7-Y,0.32671988
