Model,Metric,Query,Expected Video,Retrieved Rank
MiniLM,cosine,Learn English with The Devil Wears Prada scene,UqobITwaxjk,227
MiniLM,cosine,Learn English with SpongeBob SquarePants dialogue,NDhPifXoBYI,2
MiniLM,cosine,Learn English with The Simpsons episode conversation,NDhPifXoBYI,140
MiniLM,cosine,Learn English with Peaky Blinders speaking style,uW-I9SFuU1A,1
MiniLM,cosine,Learn English with Jennifer Aniston interview,5fBrINGT0Dg,3
MiniLM,cosine,Learn English with Zootopia movie dialogue,pOWZp3X_1aU,75
MiniLM,cosine,Learn English with The Lion King movie scene,2sgxlayFzko,64
MiniLM,cosine,Learn English with Pirates of the Caribbean dialogue,QMxTi2D66pY,199
MiniLM,cosine,Learn English with Beauty and the Beast conversation,pXCLgLs-ZdQ,193
MiniLM,cosine,Learn English with Frozen movie scene,uuIZZc_CeFM,271
MiniLM,cosine,Learn English with Toy Story movie dialogue,DB3-s5oJFo8,42
MiniLM,cosine,Learn English with Finding Nemo conversation,4JP1nPLVy2Q,151
MiniLM,cosine,Learn English with Aladdin movie dialogue,fvVY1XDKhZk,155
MiniLM,cosine,Learn English with Maleficent movie scene,9GpGky10yOE,251
MiniLM,cosine,Learn English with Ice Age movie conversation,wppNtDrquVc,207
MiniLM,cosine,Learn English with Monsters Inc movie dialogue,xIS2JcvekeQ,286
MiniLM,cosine,Learn English with Shrek movie expressions,Ejb9b0veUPA,168
MiniLM,cosine,Learn English with Disney movie conversations,aU58RGC4IKw,51
MiniLM,cosine,Learn English with How I Met Your Mother dialogue,jtGO8B6ONz4,210
MiniLM,cosine,Learn English with Friends TV series conversation,2sgxlayFzko,165
MiniLM,cosine,Learn English with rap songs pronunciation,8BfL3wzzyoc,52
MiniLM,cosine,Learn English with Eminem lyrics pronunciation,HBVX1D1SerE,2
MiniLM,cosine,Learn English with Queen song vocabulary,cpp22-kDtp0,7
MiniLM,cosine,Learn English with Ariana Grande song dialogue,PsPB_mnGK8s,3
MiniLM,cosine,Learn English with Taylor Swift song expressions,WQeLu4i3p7Q,15
MiniLM,cosine,Learn English with Billie Eilish song pronunciation,fwrD70WeSzs,4
MiniLM,cosine,Learn English with Michael Jackson song lyrics,CKTPXv9XCeA,102
MiniLM,cosine,Learn English with Jonas Brothers song dialogue,o_HnKujOOOY,239
MiniLM,cosine,Learn English with Lady Gaga song vocabulary,fwrD70WeSzs,149
MiniLM,cosine,Learn English with Bob Marley song expressions,1fn8R_PNAY0,48
MiniLM,cosine,Understand fast English without subtitles,wppNtDrquVc,226
MiniLM,cosine,How to understand movies without subtitles,wppNtDrquVc,222
MiniLM,cosine,How to learn English with Netflix shows,UqobITwaxjk,220
MiniLM,cosine,How to improve English listening with TV series,wppNtDrquVc,234
