Model,Metric,Query,Rank,Video,Score
MiniLM,cosine,What are NumPy data types,1,fPopFeqw5sk,0.7236317992210388
MiniLM,cosine,What are NumPy data types,2,81i_uSX9Vic,0.5148764848709106
MiniLM,cosine,What are NumPy data types,3,6WaBryk4fkE,0.4966842234134674
MiniLM,cosine,What are NumPy data types,4,Vh4krbTnTAA,0.29281383752822876
MiniLM,cosine,What are NumPy data types,5,w6hL_dszMxk,0.2814258337020874
MiniLM,cosine,What are important NumPy functions,1,fPopFeqw5sk,0.606309175491333
MiniLM,cosine,What are important NumPy functions,2,81i_uSX9Vic,0.5974096059799194
MiniLM,cosine,What are important NumPy functions,3,6WaBryk4fkE,0.46811777353286743
MiniLM,cosine,What are important NumPy functions,4,IljPHDyBRog,0.3805887997150421
MiniLM,cosine,What are important NumPy functions,5,4wGuB3oAKc4,0.37526559829711914
MiniLM,cosine,What are Python iterators,1,k0D3MQwLn7A,0.5994930863380432
MiniLM,cosine,What are Python iterators,2,ZBlxaXMN_hU,0.4685949385166168
MiniLM,cosine,What are Python iterators,3,KWgYha0clzw,0.44629934430122375
MiniLM,cosine,What are Python iterators,4,gOMW_n2-2Mw,0.40584295988082886
MiniLM,cosine,What are Python iterators,5,t35B5HjPm9Q,0.395406037569046
MiniLM,cosine,What are Python generators,1,ZBlxaXMN_hU,0.6285499334335327
MiniLM,cosine,What are Python generators,2,piJc18hcH0Y,0.5043778419494629
MiniLM,cosine,What are Python generators,3,x-Ag2_bJ40Y,0.4249933063983917
MiniLM,cosine,What are Python generators,4,XKHEtdqhLK8,0.4151463806629181
MiniLM,cosine,What are Python generators,5,8KCuHHeC_M0,0.41360628604888916
MiniLM,cosine,What is Matplotlib in Python,1,c9vhHUGdav0,0.565110981464386
MiniLM,cosine,What is Matplotlib in Python,2,hunq_UOdmoo,0.5623854994773865
MiniLM,cosine,What is Matplotlib in Python,3,fPopFeqw5sk,0.3576712906360626
MiniLM,cosine,What is Matplotlib in Python,4,8A0E1dSyjFM,0.329619824886322
MiniLM,cosine,What is Matplotlib in Python,5,6WaBryk4fkE,0.32745081186294556
MiniLM,cosine,How to customize Matplotlib plots,1,hunq_UOdmoo,0.6471297740936279
MiniLM,cosine,How to customize Matplotlib plots,2,c9vhHUGdav0,0.5817598700523376
MiniLM,cosine,How to customize Matplotlib plots,3,l7IMBy4_nhA,0.2750604748725891
MiniLM,cosine,How to customize Matplotlib plots,4,LI8KQ3pjQug,0.24831140041351318
MiniLM,cosine,How to customize Matplotlib plots,5,fPopFeqw5sk,0.24245977401733398
MiniLM,cosine,What is a Pandas DataFrame,1,OUnnuKHbmbU,0.4470711350440979
MiniLM,cosine,What is a Pandas DataFrame,2,c9vhHUGdav0,0.3012537956237793
MiniLM,cosine,What is a Pandas DataFrame,3,fPopFeqw5sk,0.27485063672065735
MiniLM,cosine,What is a Pandas DataFrame,4,6WaBryk4fkE,0.2661190629005432
MiniLM,cosine,What is a Pandas DataFrame,5,81i_uSX9Vic,0.24404998123645782
MiniLM,cosine,What is NumPy slicing,1,6WaBryk4fkE,0.6094229817390442
MiniLM,cosine,What is NumPy slicing,2,81i_uSX9Vic,0.5144146680831909
MiniLM,cosine,What is NumPy slicing,3,fPopFeqw5sk,0.4919646978378296
MiniLM,cosine,What is NumPy slicing,4,wGlnsJFnGAI,0.44746872782707214
MiniLM,cosine,What is NumPy slicing,5,ZBlxaXMN_hU,0.36447182297706604
MiniLM,cosine,How to convert decimal to hexadecimal,1,aMME_rYkoOU,0.6387221217155457
MiniLM,cosine,How to convert decimal to hexadecimal,2,mjiHc965UME,0.6263927221298218
MiniLM,cosine,How to convert decimal to hexadecimal,3,HOMu48bTzz8,0.3962424099445343
MiniLM,cosine,How to convert decimal to hexadecimal,4,J6qXny_UAK4,0.36054444313049316
MiniLM,cosine,How to convert decimal to hexadecimal,5,fy5QsDJmctQ,0.3488810956478119
MiniLM,cosine,What is the binary number system,1,tg5Wv9Ba1lI,0.6319122910499573
MiniLM,cosine,What is the binary number system,2,J6qXny_UAK4,0.5972195863723755
MiniLM,cosine,What is the binary number system,3,Gt2yBZAhsGM,0.4343128502368927
MiniLM,cosine,What is the binary number system,4,aMME_rYkoOU,0.38596469163894653
MiniLM,cosine,What is the binary number system,5,9E3I1URu6fc,0.3527930974960327
MiniLM,cosine,What are arrays in C programming,1,6Hk2aE_SRzY,0.7576727867126465
MiniLM,cosine,What are arrays in C programming,2,y4siEcxgOpM,0.6456971168518066
MiniLM,cosine,What are arrays in C programming,3,Vh4krbTnTAA,0.6090165972709656
MiniLM,cosine,What are arrays in C programming,4,shLeCvDQYp4,0.5685443878173828
MiniLM,cosine,What are arrays in C programming,5,qLVrwCvVPGo,0.5653608441352844
MiniLM,cosine,What is dynamic memory allocation in C,1,fc19HhHKtrA,0.6040878295898438
MiniLM,cosine,What is dynamic memory allocation in C,2,rUXjvybSPWc,0.5881041288375854
MiniLM,cosine,What is dynamic memory allocation in C,3,aIQk1O08zpg,0.5250781774520874
MiniLM,cosine,What is dynamic memory allocation in C,4,DplxIq0mc_Y,0.4798445701599121
MiniLM,cosine,What is dynamic memory allocation in C,5,qLVrwCvVPGo,0.41205665469169617
MiniLM,cosine,How to read files in C,1,eIlcl-mt3tg,0.7409985065460205
MiniLM,cosine,How to read files in C,2,Hzg3kCHJcxI,0.5943508744239807
MiniLM,cosine,How to read files in C,3,6Hk2aE_SRzY,0.4426015615463257
MiniLM,cosine,How to read files in C,4,DplxIq0mc_Y,0.4075978398323059
MiniLM,cosine,How to read files in C,5,rUXjvybSPWc,0.3949757218360901
MiniLM,cosine,What are for loops in C,1,zdAggA1q0eo,0.7013123631477356
MiniLM,cosine,What are for loops in C,2,b4DPj0XAfSg,0.5904314517974854
MiniLM,cosine,What are for loops in C,3,6Hk2aE_SRzY,0.5854296088218689
MiniLM,cosine,What are for loops in C,4,shLeCvDQYp4,0.5670894980430603
MiniLM,cosine,What are for loops in C,5,Rn16ugyorX0,0.5518918037414551
MiniLM,cosine,What are function prototypes in C,1,NEj2H7SoTzQ,0.6222971677780151
MiniLM,cosine,What are function prototypes in C,2,Z5smVeUVNFU,0.5508697628974915
MiniLM,cosine,What are function prototypes in C,3,6Hk2aE_SRzY,0.4054713547229767
MiniLM,cosine,What are function prototypes in C,4,vg7Hwd9TANY,0.3900158703327179
MiniLM,cosine,What are function prototypes in C,5,rUXjvybSPWc,0.3821607530117035
MiniLM,cosine,What is a switch statement in C,1,NtlSzRWhaOc,0.6414303779602051
