query,rank,video_id,score
How do you build a video sharing app using Next.js?,1,IBTx5aGj-6U,-0.6957868196437129
How do you build a video sharing app using Next.js?,2,KCQsP91Wor0,-0.9371088923025311
How do you build a video sharing app using Next.js?,3,qYk_BqGHXEg,-0.9690638102753006
How do you build a video sharing app using Next.js?,4,6ChzCaljcaI,-0.9718317463703011
How do you build a video sharing app using Next.js?,5,jBf7of9JTV8,-0.9764035009996278
What are closures in JavaScript?,1,U6-RekkuORI,-0.49892702096167396
What are closures in JavaScript?,2,9kKNFP9srjc,-0.7463778066780795
What are closures in JavaScript?,3,UtV8MfnuIEg,-0.7986867819461785
What are closures in JavaScript?,4,kFEBs8wuhiU,-0.9430006483720184
What are closures in JavaScript?,5,yhTipwdwe9w,-0.9907774608278157
How do regular expressions work in programming?,1,uJAUeXLXHrY,-0.8925382456856927
How do regular expressions work in programming?,2,fQ51cM44o7I,-1.0297958969373726
How do regular expressions work in programming?,3,ikXDYsdg15c,-1.1007143763927685
How do regular expressions work in programming?,4,taSwtU-sldo,-1.1185870204854156
How do regular expressions work in programming?,5,UtV8MfnuIEg,-1.1229681582119477
What is integration testing in software development?,1,s950xhRvqYQ,-0.965052886952743
What is integration testing in software development?,2,Yygu7TBWdPs,-0.9988870472076634
What is integration testing in software development?,3,YCS3HsFTbTQ,-1.05501670509481
What is integration testing in software development?,4,do62-z3z6FM,-1.0815278550228522
What is integration testing in software development?,5,GIZzRGYpCbM,-1.0939402868809962
How do you contribute to open source projects?,1,FHBBaSUQk1Y,-0.6500897406615386
How do you contribute to open source projects?,2,cw02dMpWStI,-0.7300502891641399
How do you contribute to open source projects?,3,c1Op7YSTwhg,-0.7364297518719719
How do you contribute to open source projects?,4,7lEWtEG3vd0,-0.756856304106204
How do you contribute to open source projects?,5,HihwnUepmdg,-0.7882084617190241
What is Git and why is it important?,1,ZldNCx4AvEM,-0.7853438269162937
What is Git and why is it important?,2,mAFoROnOfHs,-0.8190355249253777
What is Git and why is it important?,3,CcQwCGUdRmw,-1.0857194892025337
What is Git and why is it important?,4,voPcxCFMbbM,-1.1203979999181972
What is Git and why is it important?,5,7lEWtEG3vd0,-1.136496332303448
How do developers collaborate using GitHub?,1,mAFoROnOfHs,-0.7811188618088502
How do developers collaborate using GitHub?,2,ZldNCx4AvEM,-0.8809313416843552
How do developers collaborate using GitHub?,3,CcQwCGUdRmw,-0.9101732147241997
How do developers collaborate using GitHub?,4,cw02dMpWStI,-0.9686884013389738
How do developers collaborate using GitHub?,5,7lEWtEG3vd0,-1.005950857934816
What is Kubernetes used for?,1,hK8wf18SasY,-0.8499763590349719
What is Kubernetes used for?,2,Fr9GqFwl6NM,-0.861124239856024
What is Kubernetes used for?,3,odP153inZUo,-0.8758125283855714
What is Kubernetes used for?,4,_4uQI4ihGVU,-0.8948420384771607
What is Kubernetes used for?,5,l57xKN6OBhY,-0.8950453922219191
How does Kubernetes manage containers?,1,Fr9GqFwl6NM,-0.8387491921329321
How does Kubernetes manage containers?,2,hK8wf18SasY,-0.8723529994164944
How does Kubernetes manage containers?,3,l57xKN6OBhY,-0.8816319124832426
How does Kubernetes manage containers?,4,odP153inZUo,-0.8961398662763991
How does Kubernetes manage containers?,5,_4uQI4ihGVU,-0.9676237984251853
What is Docker and how does it work?,1,lEcULR30-GM,-0.9634639827860848
What is Docker and how does it work?,2,0ffwhxW-uyw,-1.0782719921516595
What is Docker and how does it work?,3,wP8SiwiExBk,-1.1051099536478426
What is Docker and how does it work?,4,gwNPV882tkc,-1.1483124005487508
What is Docker and how does it work?,5,F9gB5b4jgOI,-1.1500421136089796
What is containerization in software development?,1,lEcULR30-GM,-1.0113127302048477
What is containerization in software development?,2,YCS3HsFTbTQ,-1.0648617122337825
What is containerization in software development?,3,0ffwhxW-uyw,-1.073067389289452
What is containerization in software development?,4,rgt5GPFgryI,-1.1068964085098898
What is containerization in software development?,5,yx1ri8X37S4,-1.109820275102984
How do you deploy applications using Docker?,1,lEcULR30-GM,-0.8666833210100492
How do you deploy applications using Docker?,2,0ffwhxW-uyw,-1.0448287850040099
How do you deploy applications using Docker?,3,F9gB5b4jgOI,-1.088923679227584
How do you deploy applications using Docker?,4,hK8wf18SasY,-1.1362266383415687
How do you deploy applications using Docker?,5,YCS3HsFTbTQ,-1.1549008441162034
What is continuous integration in DevOps?,1,lEcULR30-GM,-1.0302032824748677
What is continuous integration in DevOps?,2,s950xhRvqYQ,-1.0546399275973688
What is continuous integration in DevOps?,3,Fr9GqFwl6NM,-1.0793849961268553
What is continuous integration in DevOps?,4,GIZzRGYpCbM,-1.081663461839096
What is continuous integration in DevOps?,5,F9gB5b4jgOI,-1.0823300194484127
What is continuous deployment in DevOps?,1,lEcULR30-GM,-0.9998919004869506
What is continuous deployment in DevOps?,2,F9gB5b4jgOI,-1.050721048885906
What is continuous deployment in DevOps?,3,Fr9GqFwl6NM,-1.0694874832115546
What is continuous deployment in DevOps?,4,l57xKN6OBhY,-1.0911873590956733
What is continuous deployment in DevOps?,5,hK8wf18SasY,-1.111160040714886
