video_id,title,publish_date,year,month,title_length
E-CH3-VyVck,🚀 Why is Git INSANELY Fast? (And How Commits Actually Work),2026-02-24 11:00:29+00:00,2026,2,59
-l0ZsmMdZYE,One click deploys vs manual K8s hell #devops,2026-02-23 03:44:26+00:00,2026,2,44
URI5GsOBznk,YouTube Recommendation Engine: Complete Meltdown Analysis,2026-02-21 04:26:16+00:00,2026,2,57
8d2eG7bdepQ,Implementing OAuth and MFA: Full Authentication Breakdown,2026-02-18 11:00:16+00:00,2026,2,57
GQ6piqfwr5c,"How Stripe Built AI Agents That Write 1,000+ Pull Requests a Week",2026-02-14 13:02:10+00:00,2026,2,65
p5hA8rpCRXw,The Selenium Problem: Why QA Teams Waste 40% of Their Time | Kane AI,2026-02-11 11:01:25+00:00,2026,2,68
4KiiKQ9RVvA,How to Build a Scalable RAG System for AI Apps (Full Architecture),2026-02-08 11:00:06+00:00,2026,2,66
UDF53X8Tkmc,How to Let AI Securely Access Your Database (RBAC + MCP),2026-02-04 14:16:38+00:00,2026,2,56
vVMlEBMIdKo,MCP vs A2A | Google&#39;s Answer to Anthropic&#39;s Protocol,2026-02-01 05:01:12+00:00,2026,2,60
R0VZUKST1Ek,How an AI Agent Debugged a Production Incident in 80 Seconds (For 60 Cents),2026-01-29 14:29:23+00:00,2026,1,75
2bQc4VCXzcs,Most Developers Don&#39;t Trust AI Code. Here&#39;s Why They Should Now,2026-01-27 11:00:05+00:00,2026,1,71
BBvaKyg87Lc,They&#39;re Tracking Everything You Do (How to Stop It),2026-01-22 12:47:26+00:00,2026,1,55
aNyP-DnaPR0,X.509 Certificates vs Vaults - The Security Industry Got It Wrong,2026-01-20 13:39:15+00:00,2026,1,65
8nufqAsoX1k,Credit Card Transactions Decoded: From Tap to Bank in 2 Seconds,2026-01-15 14:00:20+00:00,2026,1,63
RSoy6zNamdM,Don&#39;t Build AI Apps in 2026 Without This,2026-01-06 14:00:48+00:00,2026,1,44
1YXwfjuDPNE,System Design Course: Student Exclusive Limited Time,2026-01-05 04:00:01+00:00,2026,1,52
Q9xD4J3tezw,How Databases Actually Store Your Data (B-Trees vs LSM Trees Explained),2025-12-26 15:30:17+00:00,2025,12,71
i_-q6dT7l1U,Netflix&#39;s GRAPHQL Secret to Handling BILLIONS of Requests,2025-12-14 14:30:28+00:00,2025,12,61
voSYs_XDsog,I Built a Game Without Writing Code (AI Agent Did Everything),2025-12-10 12:02:04+00:00,2025,12,61
AwV1ojZHNUI,Application Deployment in Minutes using Sevalla,2025-12-07 05:13:36+00:00,2025,12,47
vhQ_K9Hua-Q,Building a Real-Time AI Recommendation Engine with ONE Database | MongoDB,2025-12-03 15:30:45+00:00,2025,12,73
KS6ScOjB0Cg,"Amazon&#39;s Secret to 85,000 Orders/Minute | Black Friday Architecture",2025-11-29 16:00:27+00:00,2025,11,71
v8eUhkhC8lw,How ONE Config File Took Down 20% of the Internet ($60B Loss),2025-11-23 05:32:18+00:00,2025,11,61
3XeKm1ChS70,Why AI Coding Agents Keep Breaking on Your Laptop,2025-11-20 10:00:10+00:00,2025,11,49
kf-TJPUWqX0,What If Websites Understood You Better?,2025-11-19 02:27:15+00:00,2025,11,39
DzHUtYQyHFs,How Your Phone Can Get Hacked Without You Knowing!,2025-11-09 11:00:22+00:00,2025,11,50
gen6KebHaNA,This AI Does Research Like a Whole Team!,2025-11-07 03:27:11+00:00,2025,11,40
ys7Vcdv4GKw,AI Browsers Are Stealing Your Data (Prompt Injection Explained),2025-11-06 10:01:47+00:00,2025,11,63
ey0HsdZSpoc,How a Tiny Bug Crashed AWS | DynamoDB us-east-1 Outage Explained,2025-11-04 10:01:15+00:00,2025,11,64
cue5udxPANA,I Built a Search Engine That Talks Back,2025-10-30 09:01:05+00:00,2025,10,39
-ROI4bCGpNY,Why Sevalla Is Better Than Heroku or Vercel For Teams!,2025-10-29 04:00:01+00:00,2025,10,54
hiENF-I6MWs,Apache Kafka Without Disks - A Tutorial,2025-10-28 08:30:30+00:00,2025,10,39
LM3rwbVPyNc,Quantum Computing Explained Simply | How Qubits Power the Future,2025-10-24 16:45:02+00:00,2025,10,64
uryB8jGHCJ8,Headless Browsers Just Got Safer: Browserbase x 1Password,2025-10-22 02:00:54+00:00,2025,10,57
oyYnRVQvxv4,The Hidden Languages Powering Your Favorite Apps | Top API Protocols,2025-10-13 08:00:55+00:00,2025,10,68
6or-wXNMXMI,Introducing: System Design Mastery (Beta) – The Only Course You’ll Ever Need,2025-10-11 08:00:11+00:00,2025,10,76
tgDAFumt65o,Why Stripe’s API Never Breaks | Date-Based Versioning Explained,2025-10-04 10:01:33+00:00,2025,10,63
mOF42NjRaN4,Postman MCP Agent Generator,2025-10-03 03:06:51+00:00,2025,10,27
tAYq5tAJxB0,Why Context Beats Prompts in AI!,2025-10-02 10:01:40+00:00,2025,10,32
x4XjSRUSRrg,"The Security Problem with MCP | Identity, RBAC &amp; Audit",2025-09-30 10:01:45+00:00,2025,9,58
zZPad0WPSMQ,Multi-Agent AI Builds Apps in Minutes! (MetaGPT X),2025-09-28 03:01:13+00:00,2025,9,50
qnXTTmPPiz0,The Future of APIs | Postman MCP Agent Generator,2025-09-25 10:01:37+00:00,2025,9,48
TuNvdQUVkto,How Databases Store Passwords Securely,2025-09-18 10:00:53+00:00,2025,9,38
-QHsVHziSZQ,The JVM Secret That Makes Code Faster!,2025-09-13 11:00:00+00:00,2025,9,38
QjGG7r84FPI,Next.js Full-Stack App in Minutes | Deploying to Sevalla,2025-09-10 03:00:26+00:00,2025,9,56
tqjkePX0KGA,Amazon Q CLI Demo in Your Terminal,2025-09-09 03:01:00+00:00,2025,9,34
OYn5Be1skCs,How Global Payments Actually Work (and How to Save on FX Fees with Airwallex),2025-09-06 14:15:02+00:00,2025,9,77
XVfQD3lkn3g,Amazon Q Developer CLI Demo | AI That Codes in Your Terminal,2025-09-02 10:00:51+00:00,2025,9,60
6Dq4Z8Nk1z8,"Passkeys Explained | Why Apple, Google &amp; Microsoft Want to KILL Passwords",2025-08-28 10:00:09+00:00,2025,8,77
da-qb91mD6g,"What EXACTLY is Bastion? | SSH Jump, Port Forwarding &amp; Netflix",2025-08-25 10:01:03+00:00,2025,8,66
5KChrGWFcpk,"Single Sign-On (SSO) Explained in 10 Minutes | SAML, OIDC &amp; SCIM",2025-08-21 10:00:08+00:00,2025,8,68
bokPMx-N2uA,AWS S3 | Availability vs Durability,2025-08-18 04:00:38+00:00,2025,8,35
USLwIwyWVIM,"Master 3 Essential Design Patterns in 10 Minutes | Decorator, Command, Adapter",2025-08-15 10:00:59+00:00,2025,8,78
XZzFUjyxXYQ,Git Branching - Gitlab Flow - Git Mastery Crash Course,2025-08-14 04:00:41+00:00,2025,8,54
QPVH19td8ME,Git Feature Branching - Git Mastery Crash Course,2025-08-13 04:00:36+00:00,2025,8,49
s-vhqtyUF4I,"How SSH Works | Keys, Encryption &amp; Real-World Examples",2025-08-12 10:01:36+00:00,2025,8,58
RlEDNgdNNs8,Git Branching - Github Flow - Git Mastery Crash Course,2025-08-12 04:00:37+00:00,2025,8,54
ApR_6y6PxYA,Git Branching: Trunk-Based Development,2025-08-11 04:00:17+00:00,2025,8,38
PS9kw4W52Gs,"MCP: The “USB-C” for AI Systems | Connect GPT, Claude &amp; Real-World Tools",2025-08-10 10:00:41+00:00,2025,8,76
MmTiyF6Md5g,Git Branching - Git Flow - Git Mastery Crash Course,2025-08-09 12:21:11+00:00,2025,8,51
97Z9zXZoSlw,Building a Scalable AuthN/AuthZ Software System using Supertokens,2025-08-06 15:47:45+00:00,2025,8,65
esw0GzYWUyw,What Happens When You Login? | IAM Secrets Used by Big Tech,2025-08-05 09:00:55+00:00,2025,8,59
uqI4u9wtkU0,"Quick Sort Explained Visually | Pivot, Partition, and Recursion",2025-08-03 03:02:54+00:00,2025,8,63
5FrA0UzV1Aw,OAuth is Broken Without This | Meet PKCE,2025-07-30 10:00:18+00:00,2025,7,40
-b6rGrIEG0w,What’s Best for Building AI Assistants? | REST vs WebSockets vs MCP,2025-07-26 10:00:00+00:00,2025,7,67
3hrwFVLm7kc,User Authentication using SuperTokens,2025-07-24 03:51:49+00:00,2025,7,37
fBSodN6BL3I,User Authentication Explained with SuperTokens and ReactJS,2025-07-22 10:01:07+00:00,2025,7,58
Y1BopTNVoZE,I Got Fooled By a Scam Even as a Security Expert!,2025-07-20 04:00:45+00:00,2025,7,49
xYv3tBvJavM,Spring Boot Deep Dive | How It Simplifies Java Apps &amp; Microservices,2025-07-16 10:01:37+00:00,2025,7,71
cjSjlHUmaBU,Git Merge vs Rebase Explained Visually | Which One Should You Use?,2025-07-14 10:00:59+00:00,2025,7,66
DaHmxRg2GWc,How Amazon S3 Achieves 99.999999999% Durability | Engineering Behind the 11 Nines,2025-07-11 10:00:33+00:00,2025,7,81
NP7RmrHn1Q0,"Design Patterns in Java Every Developer Should Know | Factory, Observer, Strategy",2025-07-09 09:00:39+00:00,2025,7,81
7qUVUFE4_Sc,"Design Patterns Explained | Java, Singleton, Thread Safety &amp; Anti-Pattern",2025-07-06 10:00:13+00:00,2025,7,77
hsWK1cz00Ms,Tree Depth vs Height Balanced vs Skewed,2025-07-06 03:30:27+00:00,2025,7,39
OuC_aTJDglY,Trees and Recursion,2025-07-05 03:30:17+00:00,2025,7,19
1cZovwWsWVU,How I Scraped Amazon Without Getting Blocked | Python Proxy,2025-07-03 10:00:03+00:00,2025,7,59
la0wPRCAiy0,Tree and Binary Tree Data Structure,2025-07-03 03:00:55+00:00,2025,7,35
1y50YhnkEcQ,What is a Binary Search Tree (BST),2025-07-02 03:00:02+00:00,2025,7,34
rwScL5Vncl0,DevOps Orchestration using Kestra,2025-06-30 03:45:07+00:00,2025,6,33
JmVOEkskft4,FPGA in HFT Systems Explained | Why Reconfigurable Hardware Beats CPUs,2025-06-29 10:00:23+00:00,2025,6,70
NlnIJKdetvE,Git: Why Do Programmers Use Feature Branches?,2025-06-28 03:07:48+00:00,2025,6,45
SZ4PRZ8UbFU,I Built My Personal Finance App with One Prompt | MetaGPT X (MGX),2025-06-26 05:00:35+00:00,2025,6,65
4bQeGUzHpOE,"HTTP Secure Headers for Web App Security | CORS, CSP, HSTS and more",2025-06-23 10:00:07+00:00,2025,6,67
k7ZGcJdi_kI,Git Workflow Explained With Simple Steps Anyone Can Follow!,2025-06-22 12:13:37+00:00,2025,6,59
8RWfE9eDWXI,How LLMs Work &amp; Why Prompt Engineering Matters,2025-06-21 10:00:13+00:00,2025,6,50
Jj1-zb38Yfw,Agentic AI Explained So Anyone Can Get It!,2025-06-18 10:00:35+00:00,2025,6,42
KqMOBptbKL8,DevOps Automation and Orchestration using Kestra,2025-06-17 04:45:53+00:00,2025,6,48
cSqbQnQ5imU,You Use Tree Structures Every Day — Here&#39;s How They Work,2025-06-13 10:00:57+00:00,2025,6,60
QLNQvduHSsY,This Is Why DevOps Teams Fail At Orchestration (ft. Kestra),2025-06-10 17:30:08+00:00,2025,6,59
iwRaNYa8yTw,Inside a Real High-Frequency Trading System | HFT Architecture,2025-06-05 10:01:23+00:00,2025,6,62
4wvIU0O1xro,What REALLY Happens When You Buy a Stock?,2025-06-02 10:00:09+00:00,2025,6,41
0NtIcbSsjBc,Java Threads vs Virtual Threads | Why This Changes Everything,2025-05-31 10:00:01+00:00,2025,5,61
VyxA3mlvo84,From GitHub to Production in Minutes with Render | React + Node + PostgreSQL,2025-05-29 14:30:21+00:00,2025,5,76
HMoZ5cYzU4I,Git Mastery Crash Course | From First Commit to Big Tech Workflows,2025-05-26 10:00:23+00:00,2025,5,66
j1PkkSddZcE,🚀 DragonflyDB is BLAZING Fast | Millions of Ops/sec Without Clustering (vs Redis),2025-05-22 10:01:14+00:00,2025,5,81
8afhcpiMh24,Kernel in Operating System: The Secret Power Inside Every Computer System Design!,2025-05-17 10:00:14+00:00,2025,5,81
I6dpN0geIb4,How NGINX Handles MILLIONS of Requests With Just 1 Process 🔥,2025-05-12 10:00:34+00:00,2025,5,60
WUBWIVCJLHI,Classic SQL Injection in JavaScript 🚨💻,2025-05-11 12:30:32+00:00,2025,5,38
NvZEZ-mZsuI,How Sockets Actually Work – From Your Browser to the Backend ⚙️,2025-05-10 10:00:36+00:00,2025,5,63
t3HvCLYnrRY,FusionAuth System Design | Build Auth That You Actually Own,2025-05-08 11:01:32+00:00,2025,5,59
wZgNO_ZIf40,SQL Joins Explained in 60 Seconds 🔗,2025-05-05 12:31:09+00:00,2025,5,35
JQ_wXA9JA1g,The Hidden Security Magic Behind Mobile Payments,2025-05-04 14:00:21+00:00,2025,5,48
ftMW4TtzDEk,Blind SQL Injection Explained with Real Examples 🔍,2025-05-02 04:16:15+00:00,2025,5,50
8PnVhLQTDoQ,MCP Client vs MCP Server Explained in AI Agents 🤖,2025-05-01 12:30:14+00:00,2025,5,49
9UNPwGRNo_k,I Tested DeepAgent: How AI Agents Use MCP to Think 🤖,2025-04-30 10:00:27+00:00,2025,4,52
gRuI6HzyuPY,Why Venn Diagrams Mislead You About SQL Joins ❌,2025-04-28 18:30:48+00:00,2025,4,47
q7K20k6rV9E,From REST to gRPC to Messaging: SCALING Microservices the Right Way!,2025-04-28 17:01:04+00:00,2025,4,68
tb-hlGa71sk,Stop SQL Injections with Prepared Statements 🔒,2025-04-27 12:31:04+00:00,2025,4,46
MWv33xofJ40,AI Assistant vs AI Agent 🤖 | What&#39;s the Difference?,2025-04-25 12:30:21+00:00,2025,4,55
AMNWLz_f6qM,REST vs gRPC in Microservices | Which One Should You Use? (Explained Clearly),2025-04-23 16:45:01+00:00,2025,4,77
NvWMwRLwYZQ,Why Joins Matter in Databases 💡,2025-04-22 18:30:24+00:00,2025,4,31
mTJpFiPQZho,Classic vs Blind SQL Injection Explained 🔐,2025-04-21 12:30:54+00:00,2025,4,42
8SPVfacnFvM,Domain-Driven Design: Bounded Contexts Explained! 🚀,2025-04-20 10:00:12+00:00,2025,4,51
if6OL6trunU,What is MCP in AI Assistants?,2025-04-18 12:34:21+00:00,2025,4,29
h125O5yvdg0,Why I/O Operations Are Slowing Down Your Code ⏱️ (And How to Fix It!),2025-04-16 11:01:14+00:00,2025,4,69
