Query,Rank,Video,Title,Score
what is python programming?,1,KUbbb0T1YZ8,Have you ever wondered where Python got its name?,0.6203585863113403
what is python programming?,2,VDFRpjQVaME,College Calculus – Full Course with Python Code,0.5056148171424866
what is python programming?,3,CMEWVn1uZpQ,Learn Python for Data Science – Full Course for Beginners,0.48222842812538147
what is python programming?,4,fxx_E0ojKrc,Time Series Forecasting in Python – Tutorial for Beginners,0.4122219383716583
what is python programming?,5,kb_scuDUHls,"Cryptography for Beginners - Full Python Course (SHA-256, AES, RSA, Passwords)",0.4064640402793884
python for beginners tutorial,1,CMEWVn1uZpQ,Learn Python for Data Science – Full Course for Beginners,0.7037737369537354
python for beginners tutorial,2,kb_scuDUHls,"Cryptography for Beginners - Full Python Course (SHA-256, AES, RSA, Passwords)",0.6704606413841248
python for beginners tutorial,3,VDFRpjQVaME,College Calculus – Full Course with Python Code,0.6271865367889404
python for beginners tutorial,4,fxx_E0ojKrc,Time Series Forecasting in Python – Tutorial for Beginners,0.6234689950942993
python for beginners tutorial,5,jGg_1h0qzaM,LangGraph Complete Course for Beginners – Complex AI Agents with Python,0.530654788017273
how to use lists in python?,1,TFhGTw4RXI4,How to insert list items at a specific index in Python,0.6162353754043579
how to use lists in python?,2,9KnVcWXUL8w,How to remove a list item by its value in Python,0.5416024923324585
how to use lists in python?,3,vZHhmzT9TL8,How to use the .append() method in Python,0.46856221556663513
how to use lists in python?,4,CMEWVn1uZpQ,Learn Python for Data Science – Full Course for Beginners,0.4542112350463867
how to use lists in python?,5,VDFRpjQVaME,College Calculus – Full Course with Python Code,0.4414222240447998
how do python dictionaries work?,1,KUbbb0T1YZ8,Have you ever wondered where Python got its name?,0.5171626806259155
how do python dictionaries work?,2,CMEWVn1uZpQ,Learn Python for Data Science – Full Course for Beginners,0.4263903498649597
how do python dictionaries work?,3,VDFRpjQVaME,College Calculus – Full Course with Python Code,0.4240051507949829
how do python dictionaries work?,4,kb_scuDUHls,"Cryptography for Beginners - Full Python Course (SHA-256, AES, RSA, Passwords)",0.3943307399749756
how do python dictionaries work?,5,fLnkVdDPgso,How to split a string in Python,0.36774539947509766
what are python functions?,1,KUbbb0T1YZ8,Have you ever wondered where Python got its name?,0.5121342539787292
what are python functions?,2,VDFRpjQVaME,College Calculus – Full Course with Python Code,0.5119927525520325
what are python functions?,3,ikXDYsdg15c,Function declaration vs expression - what's the difference?,0.4259110391139984
what are python functions?,4,CMEWVn1uZpQ,Learn Python for Data Science – Full Course for Beginners,0.4121851325035095
what are python functions?,5,fxx_E0ojKrc,Time Series Forecasting in Python – Tutorial for Beginners,0.3907170295715332
what are python classes and objects?,1,KUbbb0T1YZ8,Have you ever wondered where Python got its name?,0.5116275548934937
what are python classes and objects?,2,CMEWVn1uZpQ,Learn Python for Data Science – Full Course for Beginners,0.46112382411956787
what are python classes and objects?,3,VDFRpjQVaME,College Calculus – Full Course with Python Code,0.4464569389820099
what are python classes and objects?,4,0roB7wZMLqI,Django Crash Course – Python Web Framework,0.3838213086128235
what are python classes and objects?,5,tfpGS_doPvY,Deep Learning Vision Architectures Explained – Python Course on CNNs and Vision Transformers,0.3689917027950287
