query,rank,video_id,score
How do you build a video sharing app using Next.js?,1,IBTx5aGj-6U,0.72894967
How do you build a video sharing app using Next.js?,2,jBf7of9JTV8,0.4368553
How do you build a video sharing app using Next.js?,3,KCQsP91Wor0,0.40806216
How do you build a video sharing app using Next.js?,4,tPkJLnDqAKk,0.38851336
How do you build a video sharing app using Next.js?,5,tdsQwuyS6DQ,0.36650813
What are closures in JavaScript?,1,U6-RekkuORI,0.86760926
What are closures in JavaScript?,2,9kKNFP9srjc,0.685992
What are closures in JavaScript?,3,UtV8MfnuIEg,0.540434
What are closures in JavaScript?,4,kFEBs8wuhiU,0.49800104
What are closures in JavaScript?,5,yhTipwdwe9w,0.464256
How do regular expressions work in programming?,1,uJAUeXLXHrY,0.45912114
How do regular expressions work in programming?,2,pdleuy5lljY,0.36466098
How do regular expressions work in programming?,3,ikXDYsdg15c,0.3186104
How do regular expressions work in programming?,4,fQ51cM44o7I,0.3112631
How do regular expressions work in programming?,5,o54etZM-DrY,0.2922058
What is integration testing in software development?,1,s950xhRvqYQ,0.4799295
What is integration testing in software development?,2,Yygu7TBWdPs,0.37045816
What is integration testing in software development?,3,gpm1hRv6WL8,0.29182935
What is integration testing in software development?,4,9vkkJ4tC4SQ,0.29167366
What is integration testing in software development?,5,MdEexYakkHw,0.2913713
How do you contribute to open source projects?,1,FHBBaSUQk1Y,0.7231584
How do you contribute to open source projects?,2,7lEWtEG3vd0,0.6352257
How do you contribute to open source projects?,3,c1Op7YSTwhg,0.6120539
How do you contribute to open source projects?,4,4RGkpzTJjfg,0.5960964
How do you contribute to open source projects?,5,cw02dMpWStI,0.59198
What is Git and why is it important?,1,mAFoROnOfHs,0.6583924
What is Git and why is it important?,2,ZldNCx4AvEM,0.596977
What is Git and why is it important?,3,CcQwCGUdRmw,0.3274226
What is Git and why is it important?,4,voPcxCFMbbM,0.28263915
What is Git and why is it important?,5,7lEWtEG3vd0,0.2741251
How do developers collaborate using GitHub?,1,mAFoROnOfHs,0.63668406
How do developers collaborate using GitHub?,2,ZldNCx4AvEM,0.5332716
How do developers collaborate using GitHub?,3,CcQwCGUdRmw,0.48405433
How do developers collaborate using GitHub?,4,cw02dMpWStI,0.44142213
How do developers collaborate using GitHub?,5,voPcxCFMbbM,0.42499238
What is Kubernetes used for?,1,hK8wf18SasY,0.6314103
What is Kubernetes used for?,2,_4uQI4ihGVU,0.57499707
What is Kubernetes used for?,3,Fr9GqFwl6NM,0.5231604
What is Kubernetes used for?,4,odP153inZUo,0.511248
What is Kubernetes used for?,5,l57xKN6OBhY,0.4643401
How does Kubernetes manage containers?,1,hK8wf18SasY,0.61717737
How does Kubernetes manage containers?,2,_4uQI4ihGVU,0.5347303
How does Kubernetes manage containers?,3,Fr9GqFwl6NM,0.5231643
How does Kubernetes manage containers?,4,odP153inZUo,0.5110316
How does Kubernetes manage containers?,5,l57xKN6OBhY,0.46132255
What is Docker and how does it work?,1,lEcULR30-GM,0.4766028
What is Docker and how does it work?,2,0ffwhxW-uyw,0.29736233
What is Docker and how does it work?,3,hK8wf18SasY,0.24331401
What is Docker and how does it work?,4,voPcxCFMbbM,0.23971935
What is Docker and how does it work?,5,wP8SiwiExBk,0.23150502
What is containerization in software development?,1,lEcULR30-GM,0.40455177
What is containerization in software development?,2,hK8wf18SasY,0.334315
What is containerization in software development?,3,odP153inZUo,0.3007962
What is containerization in software development?,4,baYjd4pFjlw,0.29865858
What is containerization in software development?,5,0ffwhxW-uyw,0.29507777
How do you deploy applications using Docker?,1,lEcULR30-GM,0.562107
How do you deploy applications using Docker?,2,0ffwhxW-uyw,0.39673528
How do you deploy applications using Docker?,3,F9gB5b4jgOI,0.3679413
How do you deploy applications using Docker?,4,hK8wf18SasY,0.2740302
How do you deploy applications using Docker?,5,9vkkJ4tC4SQ,0.26042694
What is continuous integration in DevOps?,1,JfiWi8RjN-8,0.37527585
What is continuous integration in DevOps?,2,s950xhRvqYQ,0.3442313
What is continuous integration in DevOps?,3,lEcULR30-GM,0.30494475
What is continuous integration in DevOps?,4,MdEexYakkHw,0.27542174
What is continuous integration in DevOps?,5,D5F8kp_azzw,0.27115172
What is continuous deployment in DevOps?,1,lEcULR30-GM,0.4159407
What is continuous deployment in DevOps?,2,F9gB5b4jgOI,0.3453244
What is continuous deployment in DevOps?,3,mAFoROnOfHs,0.31972492
What is continuous deployment in DevOps?,4,JfiWi8RjN-8,0.31641522
What is continuous deployment in DevOps?,5,mvleESOUTRw,0.30759978
How does CI/CD improve software development?,1,s950xhRvqYQ,0.40859756
How does CI/CD improve software development?,2,C7UI_4jIGSQ,0.40719563
